,S,I,X,R,D
48,6566948.948900008,3333.3773716999945,1235.7549941400027,2733.3698032000016,76.53435765300031
49,6565716.989600032,3889.264701199995,1442.0571905700033,3190.2830539999854,89.32792773500032
50,6564280.111600031,4537.578148200005,1682.740259399997,3723.4151906999914,104.2556311230001
51,6563106.422999996,4790.717068200009,1963.512292399998,4345.446964800012,121.6725203999998
52,6561868.127299998,5057.751970899991,2240.7349347999957,5020.87006060001,140.58436403299982
53,6560560.874499997,5339.4209374999755,2516.162719200004,5750.718776400007,161.02012607999984
54,6559181.241599995,5636.496508700006,2791.4430872999947,6536.277157500018,183.0157688400001
55,6557724.396699984,5949.790085599996,3068.132664100016,7379.070947599998,206.61399995999983
56,6556187.427800001,6280.151064100001,3347.7075575999934,8280.862958799988,231.86417237000003
57,6554565.325199952,6628.470340300008,3631.578345400011,9243.64881819996,258.8221826900011
58,6552853.805400007,6995.680684799996,3921.0990068000006,10269.653876199982,287.55031181999914
59,6551048.077200017,7382.7571049999815,4217.578373600005,11361.332032399994,318.11729730999957
60,6549143.361200021,7790.720955200007,4522.286571500009,12521.365208400008,350.598249999998
61,6547132.886500001,8220.639387899973,4836.468177100001,13752.66623700001,385.0746617900003
62,6545012.743800016,8673.625772499996,5161.342618100001,15058.377406999998,421.6345594700001
63,6542777.0307999905,9150.843661599998,5498.119084100003,16441.874151000055,460.37244930999907
64,6540418.600599998,9653.507068400007,5847.997092199978,17906.769541999965,501.38953877999904
65,6537931.348099981,10182.879480199972,6212.173648199997,19456.919883000028,544.7938013999998
66,6536432.514899997,9616.355945800038,6591.850160400004,21096.426511000034,590.6999378999984
67,6535017.686699989,9081.025134299976,6875.843559300013,22717.246039999936,636.0829649099985
68,6533682.0983999865,8575.205091699985,7077.109013600028,24312.93178699996,680.7621282499994
69,6532420.836600002,8097.3014222000065,7207.1032776000175,25878.164904999947,724.588631830004
70,6531230.48819997,7645.8016518,7275.9432471000155,27408.606333000032,767.4409492000007
71,6530105.841499997,7219.272886100037,7292.556262100015,28900.780798000076,809.2218460299983
72,6529045.234500008,6816.355134800012,7264.808706099987,30351.96315900008,849.8550183000013
73,6528042.920899983,6435.763459100006,7199.62199650001,31760.080517999977,889.2822033399999
74,6527097.85090001,6076.276173500004,7103.077020799989,33123.61824299995,927.4612765200003
75,6526204.600299981,5736.7413027999855,6980.508526499986,34441.55377199999,964.3635215400034
76,6525362.15829999,5416.064135000011,6836.586436999989,35713.27804199997,999.9717121200019
77,6524566.267399998,5113.210855999996,6675.391698100016,36938.54363700007,1034.2791527599995
78,6523815.551200011,4827.201110199992,6500.482447100004,38117.40484900009,1067.2873162000014
79,6523106.914300002,4557.109096700002,6314.952782299975,39250.17388600009,1099.0048088200015
80,6522437.287599988,4302.057093499996,6121.486684400002,40337.375972999944,1129.4465148199977
81,6521805.895500012,4061.2157241000023,5922.403498300037,41379.73266199989,1158.6325118800023
82,6521209.994699995,3833.80053929999,5719.702394300017,42378.094501999934,1186.58667241
83,6520647.0356000075,3619.069111000013,5515.096771399999,43333.447235,1213.336394329999
