,ANTRIM
202,25.168373000000003
203,26.59202753000001
204,28.094385000000017
205,29.680563279999987
206,31.35432489999999
207,33.12099491
208,34.98710196000001
209,36.95493603
210,39.03134010000003
211,41.22286361000003
212,43.53421271999998
213,45.97265370000001
214,48.54573081
215,51.260449619999996
216,54.12273057000002
217,57.14215623000004
218,60.32713572000003
219,63.685294640000045
220,67.22673350000002
221,70.96157380000008
222,76.20853349999994
223,81.84047919999992
224,87.88140049999996
225,94.36310679999998
226,101.31727410000008
227,108.77776180000006
228,116.77973790000007
229,125.36355979999985
230,134.57192920000008
231,144.44815770000005
232,155.03882670000004
233,166.3951800999998
234,178.57615970000015
235,191.63776480000024
236,205.6433821000001
237,220.6566753000003
238,236.75256860000002
239,254.00439530000006
240,272.49853469999994
241,292.32015280000036
242,313.5625611999999
243,336.3250372
244,360.71434159999984
245,386.84367500000036
246,414.8343087999999
247,444.8189812999998
248,476.9296749999997
249,511.31497579999973
250,548.1309048000002
251,587.5423564999995
252,629.7235793000001
253,674.8699329999998
254,723.1763989999996
255,774.8563520000002
256,830.1348730000001
257,889.2495549999995
258,952.4498629999997
259,1020.0068130000012
260,1092.1988840000004
261,1169.328723000001
262,1251.7062289999997
263,1339.6590110000009
264,1433.5437359999996
265,1329.4274820000007
266,1234.8754130000004
267,1148.0897580000003
268,1076.39648
269,1009.7396630000006
270,947.5263500000007
271,889.4653880000008
272,835.1223679999997
273,784.1691259999998
274,736.7691450000002
275,692.3790120000004
276,670.8859789999996
277,665.5046600000001
278,669.4040930000006
279,666.0685250000004
280,665.5200009999992
281,669.8851709999998
282,666.7871520000003
283,682.953874
284,689.5893189999997
285,700.4731079999993
286,715.4961189999996
287,757.4284229999996
288,784.198706000001
289,817.0517639999988
290,836.5764519999998
291,843.684582
292,842.5464520000002
293,841.1165620000002
294,839.3493069999993
295,836.8094790000004
296,834.1427950000011
297,833.2655849999991
298,826.9428439999996
299,815.1944799999997
300,797.7982819999999
301,776.0825070000003
302,752.0667607999997
303,736.6244709999997
304,727.9145629000001
305,722.1867745999996
306,710.6396565999999
307,694.6516774000003
308,675.1267404000001
309,653.5504407999999
310,630.0179477000006
311,605.7942944
312,580.9720901999999
313,575.2687916999997
314,574.0425222
315,566.5870164999992
316,555.4408786000007
317,541.4003227999999
318,524.7357528000003
319,506.9053495999999
320,487.8253194000002
321,467.8367159000003
322,447.4494526000001
323,426.9050974999999
324,407.0196763000004
325,387.3746052
326,367.8816993999998
327,348.8066175
328,330.32879039999995
329,312.4555263999998
330,295.26148709999984
331,278.7653338999999
332,262.96528869999986
333,247.82311950000016
334,233.45123759999993
335,219.77860110000006
336,211.2810248999998
337,202.9922021999999
338,198.02605960000017
339,193.03317690000011
340,188.03374150000002
341,183.0633273
342,178.1290661999999
343,173.27296660000013
344,168.4669390000002
345,163.74348460000007
346,159.0826087
347,154.53858060000007
348,150.070994
349,145.73195599999997
350,141.4866086
351,137.36802859999986
352,133.3594165000001
353,129.4665616
354,125.68309319999999
355,122.00920380000001
356,118.46184299999992
357,115.72104100000003
358,113.0530631
359,113.70909729999994
360,114.34403199999988
361,114.9428805000001
362,115.54250590000007
363,116.13169410000005
364,116.7168512
365,117.3168978
366,117.86605899999992
367,118.4321636999999
368,119.00294469999996
369,119.59027089999998
370,120.1910423
371,120.7831115
372,121.4185859
373,122.0784500000001
374,122.7756438
375,123.46040099999992
376,124.18881070000002
377,124.98202860000005
378,126.02664520000002
379,127.10678949999998
380,130.7611724999999
381,134.52170669999995
382,138.38684610000007
383,142.3640691000001
384,146.45557029999995
385,150.66435340000012
386,154.99207519999987
387,159.4450646
388,164.02584660000025
389,168.7372253
390,173.58521909999996
391,178.5696882000001
392,183.6956259
393,188.96646469999996
394,194.38872539999974
395,199.96154729999986
396,205.68895849999987
397,211.57989039999975
398,217.53730350000006
399,223.66329000000013
400,229.96299919999996
401,241.60735099999985
402,253.10089650000015
403,265.02056900000014
404,277.3266185999999
405,290.1096302
406,303.3874643
407,317.1598085999999
408,331.5177778000001
409,345.83838010000017
410,360.72675800000013
411,376.1969068000003
412,390.06186269999966
413,404.4132982000001
414,419.0230414000002
415,434.22826050000003
416,449.9026860999995
417,466.13799900000004
418,483.01237949999944
419,495.67958279999993
420,508.99428650000004
421,520.2118419999999
422,539.1778039
423,552.8869353999995
424,567.9159045999997
425,582.6347439000002
426,598.753793399999
427,615.8063025999992
428,634.1088105999997
429,652.7188699999995
430,670.9768599
431,690.5495236999999
432,710.7647963000002
433,731.9819140000003
434,754.3667789999996
435,777.9121459999999
436,803.1864429999998
437,829.8377969999996
438,857.689495
439,886.8575529999998
440,918.1781499999995
441,950.7342860000002
442,985.086157
443,1021.449547
444,1060.4824449999992
445,1101.5860710000013
446,1145.0366699999995
447,1191.091704
448,1239.610446999999
449,1290.101426
450,1343.0653109999998
451,1399.2912350000001
452,1457.9083130000017
453,1341.6875580000014
454,1236.2048360000015
455,1140.4779230000008
456,1053.099791000001
457,981.895645
458,915.7659630000009
459,854.3321519999996
460,797.4204959999989
461,744.8005569999998
462,695.6191419999998
463,649.8869606000001
464,607.4332702999999
465,567.8505099999999
466,530.8323935000002
467,496.45254419999975
468,464.3463516
469,434.3867341000002
470,406.41662269999983
471,380.3087108999996
472,355.95490360000053
473,333.1808199999999
474,333.8557410000003
475,331.57508490000004
476,345.2170021000002
477,352.59402089999986
478,371.0073589000004
479,380.88958849999955
480,392.2490831000002
481,398.1970046000002
482,416.47022810000027
483,426.5641126999999
484,430.25536309999984
485,429.07346690000014
486,439.2208374999999
487,456.0871687999996
488,465.8946804
489,481.93132740000027
490,490.16182950000047
491,502.84976550000016
492,531.1645899000002
493,546.8762271999998
494,553.6159834000002
495,566.3642063999997
496,580.9373897999991
497,586.4161485999998
498,584.3952151000008
499,586.1836219999999
500,582.9253432000002
501,573.9843203999997
502,561.4725698999999
503,545.5976998999996
504,539.8609239999997
505,529.216902
506,515.2104238000002
507,498.6321506999996
508,480.61353959999974
509,461.44457440000025
510,441.5753012
511,421.1267858999996
512,400.8171409999999
513,380.61190299999987
514,360.62570839999995
515,341.1239788000002
516,322.0648390000001
517,303.7634384000002
518,286.1030992000001
519,269.2122961999996
520,253.02410530000003
521,237.60522769999983
522,227.87230250000036
523,230.30559209999998
524,231.3059106
525,229.91939683000007
526,225.94582350000007
527,221.28743740000004
528,216.55233889999977
529,211.38004529999998
530,206.0179598999999
531,200.4933445000001
532,194.79881710000004
533,188.95857620000007
534,183.1371801999999
535,177.3585726
536,171.65569770000005
537,166.00064959999995
538,160.45148609999998
539,155.01365799999996
540,149.68894120000013
541,144.48241889999997
542,139.40869430000012
543,135.4201513
544,131.51254250000008
545,127.7027872000001
