,S,I,X,R,D
279,6410467.21950002,9410.398014900025,12365.579478000034,138214.91279999982,3870.017894000005
280,6409108.945000003,8860.001855800016,12035.436768999962,140392.51530999993,3930.9903202000082
281,6407830.75609998,8341.5263958,11684.19479399998,142482.0662399998,3989.497696100002
282,6406626.968599996,7853.152177299964,11317.21215100004,144484.63742000054,4045.56978929999
283,6405494.8709999835,7393.157096199999,10939.118467000022,146401.6624399994,4099.247167199992
284,6404428.7902000025,6959.917880400009,10553.89259300001,148234.89682000026,4150.5769815999965
285,6403425.344200017,6551.900494600013,10164.944304999997,149986.2876899995,4199.615657899997
286,6402481.235999998,6167.653956199997,9775.178007000028,151657.96525000024,4246.422788999989
287,6401592.187900004,5805.811036700024,9387.055391800008,153252.25233999995,4291.062933299995
288,6400755.009399991,5465.0809466000055,9002.647196600017,154771.52904000066,4333.603079400014
289,6399968.138699983,5144.244161700007,8623.683398299967,156218.30374999976,4374.112371300009
290,6399226.318299995,4842.151777099992,8251.592899099971,157595.09931999963,4412.662468000001
291,6398528.849299981,4557.719278299998,7887.5438944,158904.4722300004,4449.325351400009
292,6397872.462299968,4289.922785000012,7532.476358200005,160148.99404000075,4484.172215700008
293,6397254.490499973,4037.7973922999936,7187.130384299988,161331.2417500005,4517.274928699991
294,6396673.107000002,3800.434088900005,6852.0725993999995,162453.73080000037,4548.704496499991
295,6396125.488199993,3576.9744644999855,6527.723522399985,163518.99063000028,4578.531495000012
296,6395610.631300005,3366.6102551000045,6214.37090580001,164529.45150000026,4606.824581699996
297,6395126.029599988,3168.5784271000075,5912.194980400012,165487.55008000013,4633.651401099999
298,6394670.171999988,2982.160810800008,5621.278810299979,166395.6282200002,4659.0778334000215
299,6394240.749899988,2806.680239399999,5341.627295699992,167255.97152000066,4683.1670753000035
300,6393836.554000002,2641.498349900004,5073.1762687,168070.79395999975,4705.982380600016
301,6393456.03480002,2486.0140621000037,4815.803363199994,168842.26469000016,4727.583526800005
302,6393099.03400001,2339.660691299989,4569.340121000002,169572.45360999965,4748.028642099979
303,6392761.812899983,2201.9043974,4333.577975500002,170263.34567999968,4767.373795999976
304,6392445.114600002,2072.242192399994,4108.277047499997,170916.9094199999,4785.672719900002
305,6392147.144000001,1950.2008160999949,3893.17010279999,171534.95007000028,4802.978457400008
306,6391866.086899992,1835.3337915999966,3687.972339999998,172119.28956000006,4819.340233700003
307,6391601.518000002,1727.220723599995,3492.3822124000017,172671.61727999907,4834.805295200014
