,ANTRIM
141,30.156392999999998
142,29.566700399999984
143,28.988452699999996
144,28.421435000000024
145,27.865414699999977
146,27.32024620000001
147,26.785672300000012
148,26.261517299999984
149,25.74758407000001
150,25.243664430000013
151,24.74959426999998
152,24.26516488999999
153,23.79019110000001
154,23.324506480000004
155,22.86790883999999
156,22.420227380000004
157,21.981300049999984
158,21.55094052999999
159,21.918721080000008
160,22.29275672000001
161,22.67314872
162,23.060023349999987
163,23.453488629999992
164,23.853639440000006
165,24.260604520000005
166,24.674499260000005
167,25.095420049999998
168,25.52350568
169,25.958875399999997
170,26.4016628
171,26.85195909999999
172,27.309929800000017
173,27.775676200000014
174,28.249347100000023
175,28.73107579999998
176,29.220999099999975
177,29.719241799999992
178,30.225943999999984
179,30.741271399999984
180,31.825541100000006
181,32.94829969999999
182,34.11086239999998
183,35.314454600000026
184,36.56079339999999
185,37.85119419999999
186,39.18709870000001
187,40.5702677
188,42.00248539999998
189,43.48527929999999
190,45.020645200000054
191,46.61002310000001
192,48.255732799999976
193,49.95961959999999
194,51.7235545
195,53.54973620000006
196,55.44035899999998
197,57.39771360000002
198,59.424184100000026
199,61.52209860000001
200,63.69393970000002
201,67.11833179999996
202,70.72951969999998
203,74.5370952
204,78.55023680000004
205,82.78193490000004
206,87.24160420000001
207,91.94195820000002
208,96.89527090000001
209,102.11561519999991
210,107.6156106999999
211,113.4105026
212,119.51683399999996
213,125.95071519999992
214,132.72861879999988
215,139.86900429999994
216,147.39137790000004
217,155.31636500000008
218,163.6633295
219,172.4565418
220,181.71769980000005
221,191.47141059999996
222,205.25330710000003
223,220.02278089999987
224,235.84953939999966
225,252.80748500000016
226,270.97947600000015
227,290.450434
228,311.3126719999997
229,333.6653279999996
230,357.61268200000006
231,383.26803300000006
232,410.7540339999999
233,440.1996550000002
234,471.74233899999996
235,505.5307710000001
236,541.7199439999998
237,580.4838249999996
238,622.0010800000002
239,666.4639780000005
240,714.0773099999998
241,765.0628620000003
242,819.6559560000001
243,878.1086069999997
244,940.6868140000004
245,1007.6779060000001
246,1079.386394
247,1156.1349309999994
248,1238.2730350000002
249,1326.1646490000005
250,1420.2057869999996
251,1365.3609850000003
252,1313.6035429999995
253,1265.1473310000006
254,1220.488087
255,1177.8799339999991
256,1139.3254860000004
257,1102.73284
258,1069.5161080000005
259,1038.6610219999998
260,1010.5621169999993
261,983.0243460000002
262,958.7493380000001
263,914.9913500000002
264,872.3051190000007
265,844.6899970000004
266,814.9944670000004
267,784.7077929999998
268,760.9477199999994
269,735.3537190000004
270,709.2202869999996
271,681.9183449999995
272,654.6628310000002
273,627.4972849999999
274,600.3290809999999
275,573.6480390000004
276,565.1473430000002
277,570.3961620000001
278,582.25475
279,587.0600760000002
280,592.3019749999996
281,599.4399519999996
282,600.944629
283,619.2099340000002
284,628.7877230000001
285,641.3971809999999
286,654.1402314999998
287,690.9589334000001
288,717.8291208000002
289,747.5185328999997
290,765.3455231000002
291,774.7131334999998
292,774.0471184
293,774.4132108000002
294,774.2988814
295,770.2856983000003
296,767.3167615
297,765.8924827000002
298,758.8597124999999
299,746.0901818000001
300,730.7752062999999
301,711.4318411999998
302,689.0424929000002
303,675.4822287999996
304,668.4115424000003
305,662.7184411
306,650.8126683000004
307,635.1886441999999
308,617.2226088999998
309,597.0857817000003
310,575.9072223000002
311,553.4918336000001
312,530.2067837
313,523.7125517999998
314,520.8996042999999
315,514.2370357999998
316,504.53952019999997
317,492.01626910000005
318,476.4296481
319,459.77120729999973
320,442.3823974000001
321,424.2508526999999
322,405.8602155
323,387.16434050000004
