,S,I,X,R,D
93,6514556.31730001,1920.4296269000004,3432.437765000013,51380.02671899997,1438.6408021999998
94,6514274.580400003,1812.674355700001,3271.626251099999,51915.315964000016,1453.6287968000001
95,6514009.106800009,1710.9540166000045,3116.5704217999996,52423.74382900005,1467.8647859
96,6513757.885500003,1614.9314315999961,2967.2823584000002,52906.49825000013,1481.3819866999968
97,6513520.8886999935,1524.2888480000001,2823.7386969,53364.71644699992,1494.2121233999985
98,6513297.771499984,1438.7255785999944,2685.8875202999952,53799.51710599995,1506.386541800003
99,6513086.529499999,1357.9580913999996,2553.6504877000066,54211.98360999999,1517.9355525000058
100,6512887.268300002,1281.7182300000036,2426.931147700007,54603.14429399981,1528.8880070999958
101,6512699.225300017,1209.7530396999975,2305.614436699995,54974.00606499984,1539.2722876999994
102,6512522.013199988,1141.8233793999964,2189.572535800003,55325.54768500003,1549.1152242000016
103,6512354.487599989,1077.7035282000004,2078.6669142999954,55658.68391799983,1558.4431755999979
104,6512196.184699984,1017.180242700001,1972.7502983999925,55974.31928900009,1567.280930899997
105,6512047.40970002,960.0522989599995,1871.6696429000008,56273.31709199993,1575.6528007000038
106,6511906.747800005,906.1296532200008,1775.267143099997,56556.48839700015,1583.5815860999883
107,6511773.689900014,855.2327363499995,1683.3827268000007,56824.625355000164,1591.089494099998
108,6511648.453900024,807.1921534499994,1595.8542657999994,57078.48858799988,1598.1976265999963
109,6511530.111499976,761.8478053299998,1512.519667100001,57318.79121199985,1604.9261869000022
110,6511418.550899988,719.0487079900006,1433.2173511000033,57546.229460000075,1611.2943302999981
111,6511312.655800003,678.6521636499998,1357.7875513999945,57761.4589860001,1617.3207671999967
112,6511213.18950001,640.5235107399997,1286.072170699996,57965.10048600006,1623.022816999997
113,6511119.842599994,604.5355865300016,1217.916294000002,58157.758452000024,1628.4172953000038
114,6511030.510700011,570.5683437200013,1153.1680872000004,58340.00334600006,1633.520057800002
115,6510947.770300006,538.5085910800007,1091.6792019999993,58512.377680999845,1638.3465977000067
116,6510868.12020003,508.2491204699986,1033.3054578000006,58675.40014400015,1642.9112009999967
117,6510793.554799999,479.68915037000227,977.9065580999996,58829.552589999985,1647.2275230999978
118,6510723.263899997,452.7331432100012,925.3466747600028,58975.31481900001,1651.3088046000023
119,6510657.119100029,427.2913152099994,875.4943327600004,59113.12385800013,1655.1673027000052
120,6510594.659399999,403.2785259199989,828.2226546499984,59243.39491399986,1658.8152139999945
121,6510535.227700005,380.614618309999,783.4092400000017,59366.54925699995,1662.2633807000009
122,6510479.3704,359.22390790999833,740.936220520001,59482.95314399992,1665.5226028999969
123,6510426.830399981,339.034946009999,700.6903727899986,59592.9678550002,1668.6030351000006
124,6510376.8042000225,319.98020358999946,662.5629304600005,59696.937664999845,1671.514322800002
125,6510330.145299978,301.9960494400012,626.4494575700006,59795.193964999824,1674.2655024999967
126,6510285.689600035,285.0223238200003,592.2500430499989,59888.03920600015,1676.8650633000002
127,6510243.81340001,269.00238794999996,559.8689957899995,59975.76687499999,1679.321335199998
128,6510204.525399977,253.8825397099998,529.2146918099999,60058.65134300007,1681.642286000005
129,6510167.488999993,239.61235944000074,500.19968092999903,60136.959820999895,1683.835002800004
130,6510132.348399987,226.14404144000014,472.7403557700001,60210.94572299999,1685.9063971999985
131,6510099.122899998,213.4326092499997,446.7571002400002,60280.83182100003,1687.863261799999
132,6510067.570900029,201.4355031300002,422.173718260001,60346.85488599986,1689.711785700002
133,6510038.310599978,190.11263039999963,398.9177946199997,60409.21002599995,1691.4579603000022
134,6510010.473799986,179.4260754900002,376.9202975500006,60468.11889400007,1693.1072485000025
135,6509983.854800013,169.3401294900003,356.11550617000063,60523.750767000005,1694.6649140999975
136,6509959.745299995,159.82105725000002,336.44087977999817,60576.296432999974,1696.1362795000025
137,6509935.6202000175,150.83697282000026,317.8368346200007,60625.92412699993,1697.525834499998
138,6509908.287899966,147.8854842600001,300.2469172499988,60672.78858899987,1698.8381063000033
139,6509881.316300014,144.99162938999996,284.1700639300002,60717.60095300019,1700.092897800006
140,6509854.740200011,142.15430071000017,269.4565549899991,60760.51757100006,1701.2945303000004
141,6509828.511099981,139.3723875600001,255.97183591999973,60801.68333699998,1702.4470280000066
142,6509803.096399985,136.64480886999962,243.5951861399999,60841.21672300012,1703.5539424999934
143,6509778.013600022,133.97050861000028,232.2180746599992,60879.23940000014,1704.6187945000008
144,6509753.451400011,131.34846480000016,221.7431086699998,60915.857664000025,1705.643988499992
145,6509729.748299996,128.77764409999986,212.08276415999978,60951.16748799997,1706.6325935999982
146,6509705.647100009,126.25704158999967,203.1584177200002,60985.254846999786,1707.5870467000038
147,6509682.478100008,123.78570884999964,194.89942949,61018.19331900006,1708.509501500008
148,6509659.419699978,121.36266456,187.2423526999999,61050.061365000125,1709.401742299998
