Electoral Division,CENTROID_X,CENTROID_Y,Population
267149 - TEMPLEOGUE-CYPRESS,712226,728721,2714
267150 - TEMPLEOGUE-KIMMAGE MANOR,712813,729784,4856
267151 - TEMPLEOGUE-LIMEKILN,710916,729749,3449
267152 - TEMPLEOGUE-ORWELL,712131,729324,2056
267153 - TEMPLEOGUE-OSPREY,711345,728766,2246
267154 - TEMPLEOGUE VILLAGE,713131,728981,2074
267155 - TERENURE-CHERRYFIELD,711620,730661,2151
267156 - TERENURE-GREENTREES,712208,730339,2872
267157 - TERENURE-St. JAMES,710943,730358,2568
267001 - AIRPORT,716297,742589,5018
267002 - BALBRIGGAN RURAL,719785,761563,16495
267003 - BALBRIGGAN URBAN,720308,763515,8116
267004 - BALDOYLE,723799,740304,7524
267005 - BALGRIFFIN,719987,742265,3113
267035 - BOHERNABREENA,710930,721073,4496
267047 - CLONDALKIN-BALLYMOUNT,708905,730616,2047
267048 - CLONDALKIN-CAPPAGHMORE,705522,732714,2581
267049 - CLONDALKIN-DUNAWLEY,704591,731650,11323
267050 - CLONDALKIN-MONASTERY,708344,731609,11316
267051 - CLONDALKIN-MOORFIELD,707152,733147,6376
267052 - CLONDALKIN-ROWLAGH,706343,733635,4096
267053 - CLONDALKIN VILLAGE,705170,730377,9152
267083 - EDMONDSTOWN,713870,725957,5757
267085 - FIRHOUSE-BALLYCULLEN,712114,726189,8230
267086 - FIRHOUSE-KNOCKLYON,712065,727670,3505
267084 - FIRHOUSE VILLAGE,710760,726529,12214
267100 - LUCAN-ESKER,704633,733897,32236
267101 - LUCAN HEIGHTS,704352,735421,5196
267103 - LUCAN-St. HELENS,701601,733850,10658
267107 - NEWCASTLE,700649,728854,4257
267108 - PALMERSTON VILLAGE,708524,734473,3625
267109 - PALMERSTON WEST,707496,735134,7521
267112 - RATHCOOLE,700733,724322,5009
267113 - RATHFARNHAM-BALLYROAN,713080,728294,2612
267114 - RATHFARNHAM-BUTTERFIELD,713800,728391,3288
267115 - RATHFARNHAM-HERMITAGE,714847,727748,4602
267116 - RATHFARNHAM-St. ENDA'S,714210,727714,3877
267117 - RATHFARNHAM VILLAGE,714600,729239,3099
267136 - TALLAGHT-AVONBEG,710271,727385,1538
267119 - SAGGART,703449,724566,4640
267137 - TALLAGHT-BELGARD,707156,729331,1692
267138 - TALLAGHT-FETTERCAIRN,705929,728113,8380
267139 - TALLAGHT-GLENVIEW,710281,727717,1934
267140 - TALLAGHT-JOBSTOWN,706006,726765,17824
267141 - TALLAGHT-KILLINARDAN,707569,726390,3958
267098 - KILSALLAGHAN,712451,747951,2263
267099 - KINSALEY,720142,744328,9621
267102 - LUCAN NORTH,703554,736965,1436
267104 - LUSK,719772,754650,9623
267105 - MALAHIDE EAST,723323,745302,7429
267106 - MALAHIDE WEST,721595,745814,6149
267110 - PORTMARNOCK NORTH,724263,744301,4109
267111 - PORTMARNOCK SOUTH,723911,742611,3621
267118 - RUSH,725834,754580,9921
267014 - BALLYBOGHIL,714100,754110,1162
267016 - BALSCADDEN,716482,763088,707
267027 - BLANCHARDSTOWN-ABBOTSTOWN,709817,739007,6195
267028 - BLANCHARDSTOWN-BLAKESTOWN,704594,739408,38894
267029 - BLANCHARDSTOWN-COOLMINE,706647,739063,11320
267030 - BLANCHARDSTOWN-CORDUFF,708075,740081,3871
267031 - BLANCHARDSTOWN-DELWOOD,706981,737981,5153
267032 - BLANCHARDSTOWN-MULHUDDART,707469,740742,4123
267033 - BLANCHARDSTOWN-ROSELAWN,707928,738359,1688
267034 - BLANCHARDSTOWN-TYRRELSTOWN,705652,741457,3257
267040 - CASTLEKNOCK-KNOCKMAROON,707778,736677,19027
267041 - CASTLEKNOCK-PARK,709755,737514,5329
267054 - CLONMETHAN,710490,752989,837
267065 - DONABATE,723471,749804,9399
267066 - DUBBER,713060,743080,7372
267091 - GARRISTOWN,707357,757266,1628
267093 - HOLLYWOOD,713805,758982,1397
267094 - HOLMPATRICK,723192,757799,3458
267095 - HOWTH,728011,738292,8294
267134 - SWORDS-SEATOWN,719519,746594,7003
267135 - SWORDS VILLAGE,718295,746781,2674
267158 - THE WARD,708917,742752,9602
267160 - TURNAPIN,717334,740896,1700
267008 - BALLINTEER-BROADFORD,716052,726759,2537
