Electoral Division,CENTROID_X,CENTROID_Y,Population
187062 - LUSMAGH,598263,713195,538
187078 - SHANNONHARBOUR,605247,717620,324
187081 - SRAH,617061,727341,704
167030 - DUNSHAUGHLIN,697352,749986,5840
167042 - KILBREW,702004,755781,3635
187065 - MOUNTERIN,604051,711112,249
187007 - BALLYMACWILLIAM,657698,733926,636
187014 - BRACKNAGH,659940,718639,1050
187077 - SHANNONBRIDGE,600141,725098,267
187022 - CLONMORE,657111,737832,433
187024 - CROGHAN,648074,733963,547
187035 - EDENDERRY RURAL,663419,728982,816
187004 - BALLYBURLY,653467,734099,1364
187038 - ESKER,653725,726472,474
187058 - KNOCKDRIN,651770,738216,204
167050 - KILLEEN,692517,754358,1160
167053 - KILMESSAN,688926,755113,1560
187020 - CLONBULLOGE,660204,723940,772
187036 - EDENDERRY URBAN,663470,732645,7001
187001 - AGHANCON,613893,696682,378
187063 - MONASTERORIS,658308,730232,806
187003 - BALLINCOR,604057,696707,156
187010 - BARNA,602988,687904,165
187016 - CANGORT,602170,692863,202
187025 - CULLENWAINE,601041,681559,680
187043 - GORTEEN,617114,693105,282
187066 - MOUNTHEATON,606827,689438,693
187074 - ROSCOMROE,617792,698074,153
167054 - KILMORE,689747,746159,1589
167074 - RATHFEIGH,702139,761514,988
187033 - DUNKERRIN,606440,684660,357
187039 - ETTAGH,610859,694956,523
187079 - SHINRONE,606989,693024,965
187082 - TEMPLEHARRY,600114,685390,229
187085 - TULLA,619851,700925,109
187005 - BALLYCOMMON,640093,728567,599
147008 - CASTLETOWN,701246,806431,4264
147012 - CREGGAN UPPER,695584,811296,846
167078 - RATOATH,702508,750624,11082
167079 - RODANSTOWN,691279,741194,1123
167018 - CASTLETOWN,684407,781410,995
167026 - DONAGHPATRICK,684540,774605,1800
167044 - KILCOOLY,684574,759014,359
167045 - KILDALKEY,672901,757259,1299
167046 - KILLACONNIGAN,668232,753917,2234
147013 - DARVER,699619,799169,675
147018 - DRUMMULLAGH,712836,815833,1356
147019 - DUNDALK RURAL,705335,807352,19265
167080 - SKREEN,696704,758566,1481
167001 - ARDAGH,682697,794088,644
167007 - BALLINLOUGH,664076,777498,215
167041 - KENTSTOWN,697602,764941,2152
167065 - NAVAN RURAL,688056,767981,28117
167071 - PAINESTOWN,696579,770875,1185
167075 - RATHKENNY,688708,777881,635
167051 - KILLYON,667505,749856,532
167057 - LARACOR,682219,752558,631
167073 - RAHINSTOWN,679809,745219,496
147023 - FAUGHART,701081,812208,953
147024 - GREENORE,721809,807512,1200
167010 - BALRATHBOYNE,674951,771518,526
167012 - BOHERBOY,668364,775487,317
167013 - BURRY,670643,772895,272
167014 - CARRICKLECK,679307,792437,458
167081 - SLANE,695400,775715,1853
167083 - STACKALLAN,691504,775013,661
167077 - RATHMOLYON,677249,748704,1407
167076 - RATHMORE,675762,766066,1024
167087 - SUMMERHILL,684229,749007,1334
147025 - HAGGARDSTOWN,704066,803001,6932
147026 - JENKINSTOWN,713382,809328,1281
167016 - CASTLEKEERAN,666896,778363,480
167039 - CEANANNAS MÓR RURAL,674137,775785,4653
167023 - CRUICETOWN,679313,785029,402
167088 - TARA,691158,761203,1227
167021 - CROSSAKEEL,662501,774155,511
167090 - TRIM RURAL,679007,756738,8793
187013 - BIRR URBAN,606265,705028,4415
187087 - TULLAMORE URBAN,633818,725000,11437
147027 - KILLANNY,690655,801563,820
147028 - LOUTH,695948,801591,1573
167033 - GIRLEY,670941,769132,364
167052 - KILMAINHAM,676919,789224,778
167055 - KILSKEER,666714,772139,427
167022 - CROSSKEYS,656843,772014,325
167047 - KILLALLON,662118,769981,301
187006 - BALLYCUMBER,618360,730934,741
187009 - BANAGHER,602702,714819,2106
187012 - BIRR RURAL,607690,704775,1227
147029 - MANSFIELDSTOWN,699560,796440,857
147032 - RATHCOR,716822,808707,1374
167058 - LOUGHAN,669119,779773,399
167059 - MAPERATH,673671,779491,472
167060 - MARTRY,678723,770329,708
167049 - KILLEAGH,649071,779914,427
167056 - KNOCKLOUGH,659423,775710,212
187015 - BROUGHAL,615218,716137,117
187019 - CLOGHAN,608784,718933,980
187021 - CLONMACNOISE,602111,729166,341
147033 - RAVENSDALE,709178,814798,1016
147009 - CLOGHER,712424,784795,3237
167062 - MOYBOLGUE,673916,790020,245
167064 - MOYNALTY,672606,782948,635
167067 - NEWCASTLE,672143,787148,442
167063 - MOYLAGH,654438,775118,395
167070 - OLDCASTLE,654997,780357,2297
187027 - DERRINBOY,620721,711840,305
187028 - DERRYAD,610440,713628,252
187030 - DOON,612404,730982,465
147022 - DYSART,711340,788442,924
147030 - MONASTERBOICE,703266,779090,1373
167068 - NEWTOWN,676716,782054,911
167069 - NOBBER,682239,786962,763
167086 - STONEFIELD,659802,779409,216
167005 - ARDNAMULLAN,662498,744547,864
187031 - DROMOYLE,610670,701742,337
187032 - DRUMCULLEN,615505,709806,397
187037 - EGLISH,607432,709563,147
147031 - MULLARY,706125,783453,1757
147035 - St. PETER'S,708301,778087,9721
167072 - POSSECKSTOWN,684648,788230,222
167084 - STAHOLMOG,679342,779822,408
167089 - TELTOWN,678941,775227,913
167085 - STAMULLIN,712147,763869,5009
167006 - ATHBOY,672529,763566,2588
167008 - BALLYBOGGAN,659943,741731,528
167009 - BALLYCONNELL,674837,752586,743
187040 - FERBANE,613757,724849,1223
187041 - GALLEN,612478,720821,543
187046 - HINDS,606182,732366,307
187047 - HUNTSTON,603129,722289,357
147038 - TERMONFECKIN,712745,780861,3545
147043 - St. MARY'S (PART),708771,774511,6859
167040 - CEANANNAS MÓR URBAN,674042,775850,2133
167066 - NAVAN URBAN,686978,767752,3619
167091 - TRIM URBAN,680004,756881,1386
167025 - DONAGHMORE,707343,748736,11758
167092 - TROHANNY,670692,791059,323
167003 - ARDCATH,706484,765207,1949
167015 - CASTLEJORDAN,657665,740117,427
167017 - CASTLERICKARD,671132,747499,2122
167019 - CLOGHBRACK,667853,757611,502
167020 - CLONMACDUFF,679696,762919,480
107040 - DONAGHMORE,628301,680320,260
107041 - DONORE,635262,689609,456
107043 - DUNMORE,640969,680483,269
107018 - BORRIS,645724,702071,1686
107020 - BRISHA,634685,702843,321
107010 - BALLYBROPHY,625516,682942,192
107019 - BORRIS-in-OSSORY,625892,686689,832
107032 - CLONMORE,620912,680806,211
137010 - BALLYMUIGH,627977,769972,250
137012 - BUNLAHY,627977,781598,195
137018 - COLUMBKILLE,626437,792407,592
137019 - COOLAMBER,632691,774693,382
107044 - DURROW,641576,677127,1258
137023 - CURRYGRANE,622262,777948,139
137024 - DALYSTOWN,631055,783760,196
107023 - CAPPALOUGH,640488,715768,340
137030 - FIRRY,637680,777727,196
107047 - ERRILL,621052,677160,407
107063 - KYLE,621227,690864,235
137034 - GRANARD RURAL,632178,780195,301
137035 - GRANARD URBAN,633183,781030,1096
137040 - KNOCKANBAUN,626614,775653,169
137021 - CREEVY,634112,784654,308
137022 - CROSAGSTOWN,628534,772896,247
137029 - MEATHAS TRUIM,625118,772454,2335
137028 - DRUMMEEL,625503,777809,116
137047 - MOATFARRELL,622664,774834,217
137050 - MOYNE,624386,796695,326
137051 - MULLANALAGHTA,631261,787995,298
137033 - GELSHAGH,625063,784392,351
137002 - AGHABOY,619813,781994,681
137004 - ARDAGH EAST,623043,768681,670
137042 - LISLEA,622570,784002,145
137007 - BALLINAMUCK EAST,622946,789184,599
137008 - BALLINAMUCK WEST,617959,790020,437
137046 - MILLTOWN,629882,777444,344
137016 - CLOONDARA,607458,775660,687
137017 - CLOONEE,617910,778169,738
137055 - SONNAGH,627296,786304,245
137039 - KILLOE,619429,786279,274
137045 - LONGFORD RURAL,613823,773984,5704
137005 - ARDAGH WEST,616948,770064,450
147014 - FAIR GATE,709112,775832,10424
147039 - St. LAWRENCE GATE,709635,774694,4068
147034 - WEST GATE,708272,775180,6305
147040 - DUNDALK No. 1 URBAN,704409,807502,2176
147041 - DUNDALK No. 2  URBAN,705324,808271,1140
147020 - DUNDALK No. 3  URBAN,704247,806338,1710
137011 - BREANRISK,613215,783311,839
137013 - CALDRAGH,612282,778501,2172
147001 - ARDEE RURAL,695859,790384,2935
147002 - ARDEE URBAN,696152,790695,4919
137020 - CORBOY,619576,773656,388
137026 - DRUMGORT,621874,793865,422
137027 - DRUMLISH,616288,784204,1475
137048 - MOUNTDAVIS,604768,769297,252
137049 - MOYDOW,612430,769347,730
147042 - DUNDALK No. 4 URBAN,705742,807148,6130
147010 - CLONKEEN,689741,795067,677
147011 - COLLON,698912,783283,1881
147003 - BALLYMASCANLAN,707541,811316,2200
147006 - CASTLEBELLINGHAM,705965,793816,1716
147016 - DROMISKIN,704443,798733,2229
137038 - KILLASHEE,607344,771014,437
147036 - STABANNAN,701785,792453,619
147037 - TALLANSTOWN,693562,797285,1036
137053 - NEWTOWN FORBES,608885,782663,897
137054 - RATHCLINE,601275,766139,1443
147015 - DROMIN,702551,788975,626
147017 - DRUMCAR,710193,791225,1447
147021 - DUNLEER,703484,786653,2855
147004 - BARRONSTOWN,697555,808590,747
147005 - CARLINGFORD,718710,810620,2185
147007 - CASTLERING,697026,805225,1031
97045 - GLASHARE,632266,669826,332
97053 - JOHNSTOWN,629438,666969,851
97073 - LISDOWNEY,638937,669931,252
107045 - DYSARTGALLEN,651793,682865,255
107049 - FOSSY,654818,687292,167
107024 - CARDTOWN,627919,701087,171
107025 - CASTLECUFFE,627023,710879,399
107064 - KYLE SOUTH,623980,673354,291
107069 - MONEENALASSA,622595,683658,150
107070 - MONEYMORE,622315,688491,138
97088 - RATHBEAGH,642326,667789,283
97104 - TUBBRIDBRITTAIN,633683,660167,319
97111 - URLINGFORD,629022,663749,1288
107053 - GRANTSTOWN,632351,680246,368
107055 - KILCOKE,628245,683330,134
107028 - CLONASLEE,631134,710542,939
107029 - CLONDARRIG,643519,698599,1872
107030 - CLONIN,631998,694804,227
107084 - RATHSARAN,624869,678371,591
107004 - ARDOUGH,663740,675585,345
97002 - AGLISH,655641,615274,883
97006 - BALLINCREA,662527,620137,313
97033 - DUNKITT,659947,616632,1015
107057 - KILDELLIG,631276,685343,280
107059 - KILLERMOGH,636791,680374,349
107034 - COOLRAIN,629261,693216,300
107039 - DANGANS,648269,708576,1660
107046 - EMO,653299,705630,1252
107005 - ARLESS,665664,683488,421
107006 - BALLICKMOYLER,666811,679494,651
107013 - BALLYLEHANE,661101,684383,166
97040 - FARNOGE,658789,623869,304
97055 - KILBEACON,657681,627001,200
97056 - KILBRIDE,663894,625115,400
107062 - KILNASEER,633113,676491,309
107081 - RAHEEN,640749,689689,465
107083 - RATHDOWNEY,629067,675932,1206
107050 - GARRYMORE,643313,714425,235
107051 - GRAIGUE,643778,710500,183
107054 - JAMESTOWN,659529,708183,465
107056 - KILCOLMANBANE,650201,695633,642
107042 - DOONANE,658448,681029,771
107048 - FARNANS,662533,683633,186
97057 - KILCOLUMB,666055,618838,585
97058 - KILCULLIHEEN,661256,613579,5246
97065 - KILLAHY,654586,625048,651
107093 - TIMAHOE,652678,689890,590
107008 - BALLYADAMS,661591,692461,427
107014 - BALLYLYNAN,662890,688873,1455
107060 - KILMULLEN,659470,711866,564
107061 - KILMURRY,655536,701339,267
107065 - LACKA,631010,700392,256
107052 - GRAIGUE RURAL,669615,677481,4786
107076 - NEWTOWN,660170,677162,306
107087 - ROSSMORE,667414,674714,455
137043 - LONGFORD No. 1 URBAN,613217,775111,3592
97069 - KILMAKEVOGE,665323,622411,433
97085 - POLLRONE,651438,617252,1461
97086 - PORTNASCULLY,652547,613386,1119
97091 - RATHPATRICK,665062,614558,1095
107016 - BARROWHOUSE,666823,690377,484
107038 - CURRACLONE,660086,696908,266
107058 - KILLABBAN,669792,684969,433
107067 - MARYMOUNT,626018,693453,138
107068 - MEELICK,638623,710663,419
107071 - MOUNTMELLICK RURAL,644848,706412,974
107090 - SHRULE,669527,681676,305
107097 - TURRA,662955,679906,362
137044 - LONGFORD No. 2 URBAN,613176,776176,1029
97093 - ROSSINAN,658897,620336,744
97110 - ULLID,654964,619836,1018
107066 - LUGGACURREN,658131,688735,300
107074 - MOYANNA,658552,701093,380
107082 - RATHASPICK,659749,685587,239
107072 - MOUNTMELLICK URBAN,644977,707507,2994
107073 - MOUNTRATH,635877,695373,2378
107075 - NEALSTOWN,622023,695204,89
107077 - O'MORESFOREST,641922,704019,492
137003 - AGHARRA,623645,761024,444
137009 - BALLYMAHON,615014,757775,2674
137014 - CASHEL EAST,606732,762644,302
107001 - ABBEYLEIX,642847,684030,2780
107002 - AGHMACART,638298,674640,375
107091 - STRADBALLY,656211,696869,1807
107092 - TANKARDSTOWN,667417,687560,368
107078 - PORTARLINGTON SOUTH,654609,711196,7138
107079 - PORTLAOIGHISE RURAL,647781,698123,16105
107080 - PORTLAOIGHISE URBAN,647040,698501,3878
107085 - REARYMORE,636881,713263,286
137015 - CASHEL WEST,603052,758264,589
137025 - DOORY,616740,763564,424
137031 - FORGNEY,619625,755821,491
107007 - BALLINAKILL,647697,680499,826
107015 - BALLYROAN,646836,689319,1071
107017 - BLANDSFORT,649324,685419,306
107021 - CAHER,626554,690644,98
107094 - TIMOGUE,655259,693695,356
107098 - VICARSTOWN,661807,700318,192
107003 - ARDERIN,625297,697937,279
107086 - ROSENALLIS,639277,707074,425
107088 - SALLYFORD,660919,704570,572
137032 - FOXHALL,625910,764563,528
137036 - KILCOMMOCK,612110,764061,1062
137037 - KILGLASS,620063,763517,709
107026 - CASTLETOWN,630748,690049,775
107027 - CLASH,638320,686598,370
107031 - CLONKEEN,643088,694091,668
107009 - BALLYBRITTAS,655701,707997,1283
107011 - BALLYCARROLL,652739,699686,337
107012 - BALLYFIN,638197,701055,661
107089 - SHAEN,649490,703757,922
107095 - TINNAHINCH,633645,708111,165
107096 - TRUMRA,639311,695111,231
137041 - LEDWITHSTOWN,610058,758573,363
137001 - ABBEYLARA,637232,780622,298
137006 - BALLINALEE,624270,780405,625
107033 - COLT,644217,690731,174
107035 - CUFFSBOROUGH,635374,684029,332
107036 - CULLAHILL,635069,673286,359
107037 - CULLENAGH,649869,691281,144
247031 - CARRICK,700279,620820,1779
247041 - DRINAGH,705508,616093,1139
247042 - DUNCORMICK,691343,610537,634
257019 - BURGAGE,697179,710058,2065
257028 - DONAGHMORE,691829,693752,439
257029 - DONARD,693795,698884,510
257012 - BALLYARTHUR,722058,680344,1102
257014 - BALLYCULLEN,723154,696756,330
257018 - BROCKAGH,710000,698801,733
257023 - COOLBALLINTAGGART,704156,684282,491
257024 - COOLBOY,704824,668367,597
257026 - CRONELEA,697755,672284,178
247050 - FORTH,696796,620881,831
257049 - KILLINURE,692566,672678,334
257052 - KILPIPE,709338,673908,427
257033 - DUNLAVIN,687757,700662,1359
257063 - RATH,689440,673341,277
257067 - SHILLELAGH,698093,668402,589
257071 - TINAHELY,702001,673934,1507
257020 - CALARY,717152,709631,333
257025 - CRONEBANE,721193,683659,469
37058 - ENNIS No. 2 URBAN,533340,677277,1810
37155 - ENNIS No. 3 URBAN,534130,677629,222
37156 - ENNIS No. 4 URBAN,533763,676958,1478
257045 - KILBALLYOWEN,709082,679010,348
37001 - ABBEY,528113,710300,454
37022 - CARRAN,531190,700862,117
37047 - DERREEN,513173,704277,111
37129 - NOUGHAVAL,523877,698421,198
37088 - KILLINABOY,525188,693144,349
257056 - MONEY,692432,667199,141
37015 - BOSTON,536672,699548,288
37154 - ENNIS No. 1 URBAN,533648,677911,1452
37125 - MUCKANAGH,536775,691698,300
37136 - RATH,524698,687758,249
37099 - KILRUSH URBAN,499562,655278,2571
37026 - CLAREABBEY,533771,672709,2984
37027 - CLENAGH,537313,661616,10299
37051 - DRUMCREEHY,523340,707092,423
37065 - GLENINAGH,516543,709042,158
37042 - CORROFIN,529212,689240,1335
37141 - RUAN,532942,686518,728
37050 - DOORA,538200,675117,1986
37053 - DRUMLINE,543401,661925,983
37063 - FURROOR,519618,672055,280
37082 - KILLANNIV,524402,676821,763
37045 - CRUSHEEN,539735,688768,952
37091 - KILLONE,529670,670933,614
37147 - TEMPLEMALEY,532375,682483,1201
47002 - ADRIGOLE,483919,551981,452
77072 - DUNLOE,486638,585610,846
37113 - LISDOONVARNA,514664,698887,951
37119 - MOUNT ELVA,517458,701951,82
37067 - GLENROE,532063,695055,195
37104 - KILTORAGHT,521470,690690,193
37143 - SIXMILEBRIDGE,545864,664343,2681
37055 - DYSERT,527318,683792,314
37096 - KILNAMONA,527697,679294,883
37097 - KILRAGHTIS,537444,683661,497
37132 - OUGHTMAMA,528774,705161,120
37137 - RATHBORNEY,520910,704045,90
37145 - SPANCELHILL,538997,679955,688
37149 - TOMFINLOUGH,542742,668633,654
37057 - ENNIS RURAL,533037,678122,17709
37072 - KILCLOHER,526415,672878,709
37105 - KINTURK,518157,675163,248
37128 - NEWMARKET,539031,670191,1966
247032 - CARRICKBYRNE,682899,625450,549
247036 - CLONGEEN,684121,616017,886
247037 - CLONLEIGH,679838,634169,421
247051 - GLYNN,696688,624521,584
247054 - HARPERSTOWN,692105,615051,525
247055 - HARRISTOWN,687886,612785,515
257034 - EADESTOWN,691628,689763,194
257040 - HARTSTOWN,683630,691956,267
257041 - HOLLYWOOD,694407,704147,766
257030 - DUNGANSTOWN EAST,729941,687330,832
257031 - DUNGANSTOWN SOUTH,727819,684107,903
247043 - DUNMAIN,676695,619487,330
247048 - FETHARD,678664,606836,850
247056 - HORETOWN,687303,620864,563
247058 - INCH,680640,618975,559
247060 - KILBRIDE,694261,622661,312
247063 - KILCOWAN,695408,610998,492
257042 - HUMEWOOD,694979,686756,314
257043 - IMAEL NORTH,698682,694947,258
257044 - IMAEL SOUTH,696079,692114,253
257032 - DUNGANSTOWN WEST,723953,687633,458
257035 - ENNEREILLY,726473,680746,411
247064 - KILGARVAN,688284,625146,374
247069 - KILLESK,675779,615356,686
247075 - KILMOKEA,669664,616501,853
247066 - KILLAG,694866,607511,448
247071 - KILLINICK,704199,612667,871
257046 - KILBRIDE,705269,717635,968
257054 - LACKAN,703709,707174,805
257037 - GLENDALOUGH,713065,705014,274
257038 - GLENEALY,725740,693694,2724
247092 - NEWBAWN,682661,621647,568
247090 - NEW ROSS RURAL,673085,627870,3942
247095 - OLDCOURT,671138,623162,737
247073 - KILLURIN,694899,626724,710
247076 - KILMORE,698091,606125,2246
247078 - KILPATRICK,700281,625651,807
247081 - KILSCORAN,709860,610510,954
257055 - LUGGLASS,700406,700241,171
257064 - RATHDANGAN,698373,684320,460
257047 - KILBRIDE,724034,677034,889
257048 - KILCOOLE,727986,708893,10731
247096 - OLD ROSS,679577,626770,475
247098 - RATHROE,675783,610484,824
247099 - ROCHESTOWN,675829,624846,246
247108 - TEMPLELUDIGAN,681777,637274,443
247083 - LADY'S ISLAND,711316,606267,620
247086 - MAYGLASS,701650,611658,617
247093 - NEWCASTLE,698395,615007,522
257066 - RATHSALLAGH,686986,697812,292
257068 - STRATFORD,687919,694445,468
257069 - TALBOTSTOWN,691194,686208,416
257070 - THE GRANGE,684447,695459,435
257050 - KILLISKEY,725809,700255,1062
257053 - KNOCKRATH,707512,692392,246
247109 - TEMPLETOWN,675840,603390,577
247113 - TINTERN,680492,613058,1593
247120 - WHITECHURCH,672242,619558,628
247097 - RATHASPICK,700699,616928,1760
247102 - ROSSLARE,708249,614577,2112
257072 - TOBER,690389,702364,512
257073 - TOGHER,699714,704383,341
257076 - TUCKMILL,688339,691750,279
257057 - MONEYSTOWN,720420,696230,304
257058 - NEWCASTLE LOWER,729504,703458,2354
257059 - NEWCASTLE UPPER,724627,704342,4009
247121 - WHITEMOOR,677592,629534,581
247003 - ARDCAVAN,706469,626210,2841
247104 - St. HELEN'S,712946,610523,2240
247106 - TACUMSHIN,707546,607808,528
247107 - TAGHMON,691898,619579,1026
257027 - DELGANY,727351,712963,5980
257036 - ENNISKERRY,718816,717525,2910
257039 - GREYSTONES,729180,711878,7258
257060 - OLDTOWN,718997,699784,615
257065 - RATHDRUM,719376,688653,2529
257074 - TOGHER,717825,704551,1378
247004 - ARDCOLM,709751,627279,942
247005 - ARTRAMON,702854,627864,642
247115 - TOMHAGGARD,703544,607654,582
247117 - WEXFORD RURAL,703403,620880,12505
257051 - KILMACANOGE,724723,714422,14706
257062 - POWERSCOURT,716970,714000,788
257002 - ALTIDORE,722355,706152,365
257003 - ARKLOW RURAL,718970,673610,1367
257075 - TROOPERSTOWN,717062,694511,335
257077 - WICKLOW RURAL,730484,693572,8163
257001 - AGHOWLE,694617,669848,242
257009 - BALLINGATE,696531,663622,404
247006 - AUGHWILLIAM,695180,616289,536
247018 - BALLYMITTY,688373,616531,524
247119 - WHITECHURCH,690915,625469,500
257004 - ARKLOW No. 1 URBAN,723945,672847,9976
257079 - ARKLOW No. 2 URBAN,724709,674137,3013
257080 - BRAY No. 1,726073,719092,1839
257081 - BRAY No. 2,727081,717930,6414
257017 - BRAY No. 3,726033,717899,6459
257005 - AUGHRIM,712817,680195,1858
257061 - OVOCA,718496,679949,744
257006 - BALLINACLASH,716203,682513,633
257010 - BALLINGLEN,706017,678323,210
257013 - BALLYBEG,702903,677920,184
257021 - CARNEW,700858,663626,1701
257022 - COOLATTIN,701162,667659,278
247023 - BANNOW,685914,609206,1116
247028 - BRIDGETOWN,697988,612355,865
257082 - RATHMICHAEL (BRAY),725367,718800,2415
257078 - WICKLOW URBAN,731529,693793,6762
257011 - BALLINGUILE,700473,687927,136
257015 - BALTINGLASS,687085,687984,2720
257016 - BLESSINGTON,704655,713077,4606
257007 - BALLINACOR,710625,686111,346
257008 - BALLINDERRY,715556,690457,466
237061 - KILCUMRERAGH,624630,742468,362
237063 - KILLINURE,605671,748707,416
237075 - MOATE,618248,737244,3088
237076 - MOUNT TEMPLE,614738,743054,651
237069 - KINTURK,647307,769218,1344
237091 - RIVERDALE,662398,753004,461
237092 - ROSMEAD,662129,764628,312
237001 - ARDNAGLEW,635466,733143,276
237054 - MILLTOWN,650265,741767,299
237079 - MULLINGAR RURAL,643434,753127,10783
237106 - MULLINGAR NORTH URBAN,643469,753397,5610
237080 - MULLINGAR SOUTH URBAN,643785,752401,4422
237081 - MULTYFARNHAM,640506,765887,629
247045 - ENNISCORTHY RURAL,697820,639712,9985
247047 - FERNS,700968,649568,1560
247059 - KILBORA,702475,651969,387
237077 - MOYDRUM,606274,743536,2922
237078 - MUCKANAGH,606015,752499,170
247067 - KILLANN,683450,642465,1015
237072 - LACKAN,636488,764320,599
237012 - BALLYKILMORE,643500,737559,732
247082 - KILTEALY,685806,646217,456
237082 - NEWTOWN,639086,736674,229
247089 - MOYACOMB,693285,660320,409
247094 - NEWTOWNBARRY,692706,655382,2284
247062 - KILCORMICK,706595,643077,688
247105 - St. MARY'S,688214,652955,689
247110 - THE HARROW,705679,647230,475
247074 - KILMALLOCK,704800,632630,1437
247072 - KILLOUGHRUM,691018,641973,846
247080 - KILRUSH,696943,657310,460
247085 - MARSHALSTOWN,695182,644783,1088
247012 - BALLYELLIS,704134,661750,411
247013 - BALLYGARRETT,718810,648823,832
247101 - ROSSARD,686090,649973,457
247020 - BALLYNESTRAGH,716860,663869,1197
247029 - CAHORE,719837,645166,439
247111 - THE LEAP,691726,637189,984
247112 - TINNACROSS,702030,644619,986
247010 - BALLYCANEW,713356,651290,1159
247057 - HUNTINGTOWN,710130,657217,316
247061 - KILCOMB,704637,655484,1090
247017 - BALLYLARKIN,720736,668257,855
247068 - KILLENAGH,715184,648727,549
247039 - COOLGREANY,716430,670138,1149
247040 - COURTOWN,718656,659284,2639
247114 - TOMBRACK,697711,652632,730
247002 - ARDAMINE,717643,653866,3685
247065 - KILGORMAN,722525,665095,828
247077 - KILNAHUE,710343,662019,456
247084 - LIMERICK,714399,666953,943
247070 - KILLINCOOLY,715249,640357,610
247088 - MONASEED,707431,664095,682
247103 - ROSSMINOGE,707336,658084,607
247049 - FORD,716834,643607,536
247052 - GOREY RURAL,713593,658728,6876
247053 - GOREY URBAN,715346,659646,3570
247021 - BALLOUGHTER,709241,652874,504
247009 - BALLYBEG,701218,657958,586
247087 - MONAMOLIN,710714,646702,785
247116 - WELLS,712156,642769,765
247122 - WINGFIELD,709952,668551,957
247001 - ADAMSTOWN,688000,629683,594
247014 - BALLYHACK,671673,612197,1241
247024 - BARRACK VILLAGE,678392,638061,92
247008 - BALLYANNE,675861,632923,790
247025 - BARRONSTOWN,684224,628660,582
247030 - CARNAGH,677006,622755,523
187008 - BALLYSHEAR,651961,715978,396
187011 - BAWN,622670,729051,369
187017 - CAPPANCUR,638659,722260,1531
237101 - TUBBRIT,608624,737464,689
237103 - UMMA,619514,744539,272
237002 - ARDNAGRAGH,614415,747269,412
237009 - BALLYMORIN,628726,750394,326
237014 - BALLYNAGORE,636002,738966,511
237017 - BELVIDERE,643115,748286,707
237084 - OWEL,643415,757249,440
237086 - PORTLOMAN,637319,757750,318
237087 - RAHARNEY,657766,754517,506
187018 - CLARA,625975,732657,3956
187023 - CLONYGOWAN,645623,716584,567
187026 - DAINGEAN,647168,726687,1486
187029 - DERRYCOOLY,623255,723454,261
237013 - BALLYMORE,621407,748914,734
237037 - DOONIS,611323,752832,234
237038 - DRUMRANEY,617649,748195,273
237021 - CARRICK,641610,744397,332
237022 - CASTLE,647374,752627,876
237024 - CASTLELOST,646437,740014,1692
237088 - RAHUGH,639636,733263,273
237089 - RATHCONRATH,632146,753773,351
237093 - RUSSELLSTOWN,647434,748874,495
187034 - DURROW,632829,729876,759
187042 - GEASHILL,643914,722622,1607
187044 - GORTEEN,621967,736417,356
237083 - NOUGHAVAL,615517,751917,398
237085 - PIERCETOWN,625513,756671,111
237100 - TEMPLEPATRICK,624214,752954,185
237104 - WINETOWN,620062,752393,132
237025 - CASTLETOWN,632014,741891,737
237026 - CHURCHTOWN,633010,749107,341
237094 - SKEAGH,628479,755024,243
237095 - SONNA,633422,757221,322
237096 - STONEHALL,644123,762588,213
187045 - HAMMERLANE,648141,712021,555
187048 - KILCLONFERT,644042,730992,368
187051 - KILCUMRERAGH,625566,737873,532
187052 - KILLEIGH,633678,718163,1231
237018 - BOHERQUILL,637345,773885,152
237032 - COOLE,640495,772039,239
237033 - COOLURE,642901,769952,301
237043 - FINNEA,644153,780262,265
237027 - CLOGHAN,650132,755665,359
237029 - CLONFAD,641479,741059,638
237030 - CLONLOST,653743,757585,448
237036 - DERRYMORE,659937,749928,272
237097 - STREAMSTOWN,628421,741468,378
237099 - TAGHMON,649556,760854,392
237102 - TULLAGHAN,639639,754801,417
187053 - KILLOOLY,621894,717002,270
187054 - KILLOUGHY,625189,719381,711
187064 - MOUNTBRISCOE,649787,727728,244
187068 - O'DEMPSEY,648627,718869,166
237049 - GLORE,642659,774565,182
237070 - KNOCKARROW,643562,777498,109
237090 - RATHOWEN,631245,768235,363
237039 - DYSART,636838,746914,239
237040 - EMPER,627371,760063,210
237041 - ENNISCOFFEY,650431,745160,446
237046 - GAYBROOK,646619,744305,439
237105 - WOODLAND,640646,760582,284
247046 - ENNISCORTHY URBAN,697229,639811,2666
247091 - NEW ROSS URBAN,672088,627511,3768
247100 - ROSBERCON URBAN,671428,627793,643
247118 - WEXFORD No. 1 URBAN,704387,621734,1613
247124 - WEXFORD No. 2 URBAN,704931,621191,4087
247123 - WEXFORD No. 3 URBAN,704395,622288,1243
187069 - PORTARLINGTON NORTH,655032,713496,2404
187070 - RAHAN,625718,725882,714
187071 - RAHEENAKEERAN,653261,719477,399
187072 - RATHFESTON,649099,721892,432
237098 - STREET,635228,770175,269
237008 - BALLINLOUGH,664015,764969,163
237011 - BALLYHEALY,661955,760580,293
237015 - BALLYNASKEAGH,660565,756280,282
237048 - GLENLOUGH,630552,765134,171
237050 - GREENPARK,636369,751596,256
237051 - GRIFFINSTOWN,654878,746360,574
