0,long,lat,population,type
217034,-8.231402821516992,52.44325754070955,329,21
228024,-7.125853961130173,52.25766576204384,510,22
228025,-7.1297040230779265,52.2570380198257,300,22
228026,-7.121751348082826,52.25772520309967,490,22
228027,-7.1137325053788345,52.25584054221037,849,22
228028,-7.119167266992228,52.25802955083781,543,22
228029,-7.100614163141844,52.24976373714302,1064,22
228030,-7.100840832898238,52.25521271859516,1520,22
228031,-7.1105873391475924,52.2505134610652,1357,22
228032,-7.122232133821807,52.25340514094257,812,22
228033,-7.116575114607427,52.258738279987384,301,22
228034,-7.12598726143421,52.25461054041342,593,22
228035,-7.118752950760571,52.26267369272893,742,22
228036,-7.138226548208638,52.25414320707813,2152,22
228037,-7.142173828206075,52.249210111502656,381,22
217059,-7.719320236290437,52.436553428331884,440,21
217061,-7.675794763783544,52.533749177439994,549,21
217168,-7.8177062403765225,52.315950692264245,1068,21
217169,-7.936429880041942,52.267679969280316,270,21
217039,-8.174421702557487,52.592541404054515,875,21
217053,-8.193549504063295,52.404756560492665,734,21
227032,-7.630375661929698,52.092691869752464,4787,22
227033,-7.608825425042133,52.09718868914699,3440,22
227005,-7.467939900868858,52.24664236840524,186,22
217069,-7.581696581323814,52.52622752234317,671,21
217175,-7.695455631640001,52.46574238177226,873,21
217077,-7.869734480167195,52.608390232512534,746,21
217083,-7.787362672055975,52.44088389711039,146,21
217015,-7.804583874794668,52.391495624456574,1082,21
217055,-7.6923096330035285,52.37656064188388,5652,21
217063,-8.280479866370097,52.50464017664557,289,21
217064,-8.11297618003173,52.65414800931389,288,21
217068,-8.111646165150715,52.59036120539586,636,21
227018,-7.438378828207063,52.33546603435066,450,22
227023,-7.4215507849797575,52.27339926268772,430,22
227037,-7.365010304700187,52.32325649970598,214,22
217085,-7.750542149624387,52.571986146367145,425,21
217102,-7.897118763378565,52.46484926570026,692,21
217103,-7.682893314156123,52.583643708700734,1150,21
217143,-7.678244745478397,52.4828734451383,1393,21
217089,-7.7642584791441305,52.37148578336716,3348,21
217091,-7.550341068706588,52.407358659363865,808,21
217071,-8.200391721057507,52.55243128253965,578,21
217072,-8.340834452207737,52.456079824320824,664,21
227042,-7.508145401855262,52.33067156241202,423,22
227060,-7.332335515259328,52.26905439033654,746,22
217110,-8.066047236035566,52.55379584403435,897,21
217116,-7.882028569421319,52.423057538311,780,21
217112,-7.58990844147668,52.38014172252264,1436,21
217113,-7.63982578833866,52.43161017071093,313,21
217079,-8.173863073321716,52.63783300592191,258,21
217081,-7.977129627739793,52.49582034107052,810,21
217096,-8.08631261744614,52.48085262655161,449,21
227071,-7.4334447260620005,52.30475539670123,462,22
227077,-7.336182557773894,52.30086010421008,1629,22
217126,-7.810273752545631,52.51378171830727,624,21
217141,-7.877256259468681,52.56900349156232,567,21
217142,-8.011428193097068,52.55402942945473,533,21
217120,-7.707681979835816,52.40620748153073,883,21
217004,-7.5495759066437875,52.47955933854305,372,21
217098,-7.987198651956386,52.40796134362412,545,21
217106,-8.130235982412449,52.52373116709861,551,21
227078,-7.556875625491491,52.28021373319067,236,22
227082,-7.4923008764078185,52.27417407460373,279,22
217170,-7.807861741682746,52.4689085298365,676,21
217006,-7.877940446284797,52.30082870902166,1103,21
217010,-7.538536804441205,52.56656804299433,708,21
217023,-7.591567998947171,52.59634283668494,448,21
217035,-7.598087586946373,52.65004197751171,621,21
217119,-8.283145607539737,52.44955366333198,493,21
217147,-8.055968243030419,52.51312959362913,370,21
217151,-8.367095387010759,52.482319009470544,250,21
227010,-7.737905749248871,52.288340606737485,511,22
227045,-7.717692675724366,52.249139698674135,521,22
217012,-7.8732011950796075,52.25583597886316,472,21
217024,-8.111284482520654,52.254566252102656,921,21
217062,-7.608947004661558,52.565814831675056,254,21
217073,-7.522249295678825,52.61434741217189,482,21
217074,-7.604054553871253,52.702767706070624,511,21
217153,-8.26675295206092,52.48047554293787,370,21
217154,-8.169354569377745,52.51469346571311,222,21
217157,-8.089614476429157,52.40319120933902,400,21
228001,-7.144798135777562,52.2422088573538,2757,22
127025,-8.936059709982686,52.44093910704807,335,12
127029,-8.986726070390587,52.3174803876219,145,12
127030,-8.960329456590172,52.36108677031861,960,12
127034,-9.267141926723683,52.341349658912264,353,12
127053,-8.866929231176222,52.55328281231472,773,12
127060,-8.854599231981844,52.520528782926775,882,12
217051,-8.23927781241081,52.950251280822535,300,21
217052,-7.990245633909652,53.050432189048294,230,21
217075,-8.17526603297893,52.98437165802746,201,21
217108,-8.083593743487022,52.785584189508285,451,21
217109,-8.308735265067641,52.72354629273691,331,21
127045,-9.084829766247031,52.35125428860456,280,12
127046,-8.898609475361233,52.45097322042932,296,12
217118,-8.030492559043468,52.82677359945918,684,21
127064,-9.088830935499546,52.534749113097824,441,12
127065,-9.159929154996309,52.53552088478517,66,12
217135,-8.198242498035,52.86668814460746,1870,21
217084,-8.014109971029646,53.097444527324896,279,21
217155,-8.10629777776352,52.734164669973715,123,21
217115,-8.222595543597107,52.9181171776982,772,21
217028,-7.926085049613407,52.80391666922201,310,21
217032,-7.770634593814876,52.87669830081919,270,21
217129,-8.28306233647249,52.90786846106178,642,21
217101,-7.8659572463232985,52.83452115311101,382,21
217148,-7.834073872027058,52.90983338989916,262,21
217139,-8.397556172216236,52.699283973857085,2949,21
217013,-7.90852120008926,52.685876067880656,439,21
217021,-7.751601685635885,52.6115989137737,271,21
217070,-7.8605136240391715,52.78724831958127,1169,21
217174,-8.302479398483428,52.86120161075583,915,21
217111,-7.843933617894195,52.726721593379395,499,21
217033,-7.855173537088709,52.881900502264095,378,21
217100,-7.761831346609798,52.84035273734183,462,21
217122,-7.6694255548275825,52.70650923488166,320,21
217152,-7.7862916691963,52.943235790529286,6305,21
217163,-7.719302116700778,52.91234990478601,365,21
217133,-7.710009643168218,52.74748341038675,552,21
217031,-7.964421881348694,52.74923464591819,1215,21
217076,-8.11011856484658,52.69915336001691,333,21
217121,-7.729248611389672,52.64242387491292,1102,21
217161,-7.811794662790677,52.681753343786795,2314,21
217171,-7.687293759312124,52.670237349384486,877,21
217172,-8.04079376853227,52.70364649347898,299,21
217125,-7.808587912707694,52.76233362014476,632,21
217131,-7.978079827756667,52.65784894956954,394,21
217132,-7.796727075019672,52.62067299114528,517,21
217145,-7.75372118312766,52.70747825684533,772,21
217158,-7.732696035349093,52.79903693107735,816,21
217046,-7.886657463022976,52.51564120294483,2412,21
217176,-7.68983757700687,52.35625825625943,3963,21
217080,-8.01675874812079,52.766225779516034,427,21
217082,-7.979376336349375,52.69820504524315,544,21
217042,-7.405289183685562,52.34101186432152,1496,21
217164,-8.15510001415828,52.47479627083626,2409,21
217166,-8.17004421035068,52.47197139692983,1819,21
217040,-7.434556202837854,52.36711447264709,503,21
217041,-7.403930524702187,52.35146771646811,4398,21
217056,-7.712833722496952,52.355183826677646,5563,21
217078,-7.4852874189992304,52.441761697391065,639,21
217140,-7.417409949951796,52.40805472987882,416,21
217007,-7.947754268511923,52.56682652918652,577,21
217087,-7.874971059447027,52.64115724257825,1403,21
217088,-7.919734959424586,52.71671272001491,395,21
217107,-7.478883801503603,52.38609520688717,354,21
217008,-7.74216991052594,52.507891499862275,434,21
127027,-8.502147854210977,52.65847693402898,4288,12
127035,-8.41399823457746,52.59807619674935,507,12
127056,-8.999111326320246,52.406248268515576,411,12
127061,-8.903792521034104,52.35986078740932,945,12
127063,-9.24643629912336,52.38577763542042,900,12
127075,-9.251459908880232,52.47297052792144,494,12
127085,-8.961668115088605,52.6386150733823,303,12
127087,-8.876232857736817,52.601320076595286,772,12
217090,-8.254989788537909,52.99294528134579,604,21
217123,-8.08823535093036,53.08625041575034,296,21
217124,-8.156864051567744,53.100712249558676,310,21
127036,-8.48683739787607,52.59885082364386,2236,12
127038,-8.48564803200257,52.5473444075353,364,12
127039,-8.343221745170064,52.607793862263826,1362,12
127070,-8.857488142583057,52.38574264545528,333,12
127074,-9.145782603206431,52.43880546451449,270,12
127088,-8.817605054468585,52.61920352441846,669,12
127099,-9.012279476130114,52.497973258657815,513,12
217127,-8.09417714877885,52.96338786063975,172,21
217146,-8.043418274000237,53.125495744504065,304,21
217149,-8.093650769589065,53.13977454042343,139,21
127040,-8.746796235406862,52.65941688573676,593,12
127041,-8.486149252814654,52.71394576803773,3332,12
127044,-8.750680206073408,52.61863982729022,1770,12
127077,-9.159593059762997,52.35974885590563,672,12
127078,-9.156430316628658,52.502773482936234,416,12
127095,-8.91047419118081,52.40277540677152,354,12
127107,-9.025569411845588,52.55830677510381,433,12
127108,-9.174940616360363,52.58816293849673,673,12
217150,-7.962095805859458,53.10750510147989,555,21
217159,-8.203708127050316,53.04723843786175,479,21
217173,-8.101165404906821,53.01109662618244,250,21
217001,-8.220396771681498,52.701453355562,572,21
127047,-8.44310192631392,52.65608789288393,973,12
127059,-8.299618073829121,52.652465927180074,237,12
127101,-8.98998568224769,52.45946599664349,513,12
127109,-8.979899530364834,52.42934816833339,522,12
127110,-9.176476791983202,52.55348764678362,136,12
127114,-8.932430114859159,52.565009314806886,730,12
127118,-8.862278494476248,52.64621114713732,1075,12
217002,-7.978754584773324,52.82077181715933,300,21
217005,-8.166071979398815,52.92464473179012,558,21
217009,-8.399806122775551,52.80619631173327,3124,21
127079,-8.35854581477528,52.672705083167735,1140,12
127097,-8.43192742811893,52.56150227082674,909,12
127111,-9.098748840593387,52.4058226450731,1221,12
127112,-9.206251119776447,52.323559648197744,486,12
127122,-8.931426605423082,52.52528824839034,316,12
127123,-8.937627891927173,52.521688830177084,1371,12
127126,-8.992172794717563,52.5357695814532,586,12
217016,-8.097725209587859,52.89976206043919,616,21
217020,-8.06300617406933,52.8699016811444,547,21
127106,-8.603410870614155,52.642077675289656,1786,12
127120,-8.707957707719563,52.6013398487816,1451,12
127130,-8.622953056664103,52.60626657302952,1495,12
127113,-9.021576862904517,52.34104049887454,327,12
127115,-9.060410953841027,52.44840174724862,2264,12
127116,-9.05777711424172,52.45022307040149,5104,12
127131,-9.11038903747724,52.60630439988999,927,12
127132,-9.114779898329834,52.56407999229107,532,12
127028,-8.245827883580443,52.643008493285045,409,12
217022,-8.163156576926855,52.813651154879814,677,21
217027,-8.418253627756537,52.767269311858435,733,21
217036,-8.317122659532991,52.816530319732294,430,21
127006,-8.273505066007514,52.34659629231197,339,12
127020,-8.338038221327974,52.37139927402584,628,12
127121,-9.301459261320716,52.41144131413515,504,12
127125,-9.253894377520231,52.44623893721036,864,12
127058,-8.26627358534284,52.60336295869014,1268,12
127082,-8.349278526454691,52.558107745203955,1506,12
217177,-8.189762681947855,52.86342149711796,3175,21
217044,-8.25492245619581,52.82702509561012,702,21
217047,-8.367575778256601,52.885069031890545,1470,26
217065,-8.411206446619888,52.84024802431056,428,21
217029,-7.92049117429451,52.86234214672238,119,21
127055,-8.336076756415181,52.33740146232419,374,12
127067,-8.342806890678105,52.41449399677052,333,12
127072,-8.297269887953831,52.39950776995716,563,12
127129,-9.149590816348969,52.46870103928769,281,12
127134,-9.185401863418425,52.399700061004616,974,12
127009,-8.952573949273747,52.60425415059245,622,12
127117,-8.261062774678809,52.55127042235523,1082,12
127133,-8.328785006036359,52.521350791539874,547,12
217136,-8.210692531119571,52.864482704924136,5481,21
217067,-8.15254356343509,52.752341570138455,224,21
217117,-8.292519900221423,52.77354195882245,395,21
127086,-8.192809280798357,52.33268855407879,237,12
127093,-8.273828012561752,52.30621018806716,302,12
127104,-8.222508164117022,52.3184704836817,194,12
127010,-8.999988795796568,52.60466330084542,1186,12
127012,-9.05288526828915,52.626747893812535,238,12
127016,-8.934216898159917,52.4880088714139,428,12
217156,-7.831537863785176,52.793187597511725,1946,21
217162,-7.810073049339792,52.679746284805496,6814,21
217003,-8.098506413237663,53.04747989940384,267,21
217011,-8.022905033414307,53.01417519919398,503,21
217092,-8.424400439674846,52.734980933292974,693,21
217097,-8.109572494762208,52.83545401779844,660,21
127127,-8.244072761219204,52.38566158935725,252,12
127001,-9.304176689599908,52.367014815091856,2542,12
127023,-8.817310718188134,52.651760988213084,861,12
127043,-8.91434678284582,52.65222046886188,480,12
127050,-9.061842338305798,52.58975237279299,258,12
217019,-8.123722658250392,52.9369104700276,337,21
217030,-8.142721716525838,53.000961110544125,1254,21
217043,-7.954923416139768,53.06822801581144,177,21
217050,-8.025894147466094,52.953877604326486,1055,21
217104,-8.338143683336863,52.749611872541145,457,21
217105,-8.216210716782081,52.78547058883394,688,21
127007,-9.078524671904159,52.490107176033746,981,12
127014,-9.04069440589358,52.38144910611503,361,12
67173,-8.919925774388108,53.63123728746235,664,6
67175,-8.69603981548555,53.378338899337166,657,6
