value,probability
26,0.004965306278817492
65,0.0007090152350290186
68,0.0005763040069625736
182,9.898351264624355e-05
102,0.00022436262866481872
141,9.055158379119318e-05
72,0.0005711715285290647
39,0.0022084321488184118
55,0.0008809532625515677
147,8.138644373135581e-05
144,9.861690704385007e-05
194,7.075488126194448e-05
47,0.0013938345003000666
157,8.065323252656883e-05
75,0.0006015997935277247
113,0.0002265622622791797
190,0.00011181470873001587
126,0.0001374771008975605
177,0.00010081654065821104
64,0.0006668555907537668
107,0.00021043161577386594
61,0.0007376104720157112
136,0.00012501251041618168
1,0.06473815011546244
114,0.0002041993205331765
111,0.0002331611631222626
53,0.0009817698032097786
163,7.368772608109243e-05
162,7.038827565955098e-05
161,7.662057090024038e-05
36,0.002579070412838235
104,0.00024232630318209996
101,0.00027752044101187547
191,9.788369583906307e-05
149,7.075488126194448e-05
212,8.651892216486473e-05
153,6.782203644279651e-05
110,0.00021996336143609679
94,0.00026505585053049666
174,0.0001026495686701785
196,6.8921853249977e-05
100,0.0002676220897472511
140,0.00010924846951326141
119,0.00016717215469143356
145,7.148809246673146e-05
152,6.635561403322253e-05
211,8.468589415289727e-05
115,0.0001987002364972741
158,8.615231656247125e-05
132,0.00011988003198267275
160,7.808699330981436e-05
146,7.772038770742086e-05
150,7.882020451460135e-05
112,0.00019650060288291314
108,0.0002041993205331765
131,0.0001510415081861198
151,5.682386837099167e-05
215,7.332112047869893e-05
176,0.00010338277987496549
169,7.882020451460135e-05
148,7.918681011699485e-05
175,0.00010374938547735899
139,0.00010924846951326141
197,6.488919162364856e-05
118,0.0001580070146315962
2,0.048351979505280404
184,8.94517669840127e-05
130,0.00014297618493346292
171,9.018497818879968e-05
124,0.00011144810312762238
166,8.175304933374931e-05
159,7.368772608109243e-05
116,0.00019430096926855217
142,9.971672385103055e-05
143,8.541910535768425e-05
227,4.509248909439984e-05
137,0.00010411599107975249
121,0.00015324114180048076
125,0.00012574572162096868
193,6.782203644279651e-05
155,7.808699330981436e-05
205,8.541910535768425e-05
167,7.662057090024038e-05
156,7.515414849066641e-05
172,9.898351264624355e-05
128,0.00011254791993480286
180,9.641727342948909e-05
164,7.515414849066641e-05
165,9.53174566223086e-05
203,7.222130367151844e-05
