,long,lat,population,commuters
1466,53.37891719,-7.41173647,229,139
1467,53.51591491,-7.76547116,398,244
1468,53.56465214,-7.34624748,440,260
1469,53.55841414,-7.6144883000000005,111,61
1470,53.56421577,-7.43072217,318,195
1471,53.53778565,-7.13141013,506,330
1472,53.34933348,-7.40351614,273,169
1473,53.53486099,-7.51256582,351,225
1474,53.664907299999996,-7.52942479,363,182
1475,53.522255099999995,-7.06065874,461,296
1476,53.62845932,-7.05962192,312,177
1477,53.48676567,-7.27959132,495,344
1478,53.54435903,-7.57297057,243,143
1479,53.56100188,-7.49907223,322,188
1480,53.61247646,-7.33397246,213,125
1481,53.42082315,-7.56675214,378,222
1482,53.67613294,-7.46834744,269,129
1483,53.594890799999995,-7.25061344,392,238
1484,53.52612371,-7.62640994,185,105
1485,53.39039434,-7.86826831,689,430
1486,53.5412453,-7.40120662,417,268
1487,53.44916837,-7.70288765,272,170
1488,53.52055894,-7.69982758,132,86
1489,53.59272469,-7.38875401,284,163
1490,53.52957847,-7.3408114,5610,2422
1491,52.40866535,-6.70262162,594,331
1492,52.62136951,-6.26338048,3685,1822
1493,52.37272504,-6.43374322,2841,1689
1494,52.38379891,-6.39113812,942,518
1495,52.3927723,-6.48844087,642,387
1496,52.28431111,-6.60590907,536,343
1497,52.56631112,-6.6581377999999996,799,442
1498,52.44257236,-6.87738297,790,440
1499,52.65964322,-6.50334817,586,333
1500,52.60355189,-6.3296553,1159,656
1501,52.56812297,-6.53182036,429,253
1502,52.69802711,-6.46344618,411,241
1503,52.58230467,-6.25245556,832,493
1504,52.25388203,-6.95266242,1241,647
1505,52.41498595,-6.61284321,1237,720
1506,52.48314435,-6.471680999999999,1579,970
1507,52.75844761,-6.21718672,855,506
1508,52.29634738,-6.70340437,524,275
1509,52.59032108,-6.41620252,480,299
1510,52.71291829,-6.26883713,1197,771
1511,52.61508935,-6.389692,504,306
1512,52.47733684,-6.31304714,728,414
1513,52.22381963,-6.74571552,1116,616
1514,52.48746851,-6.85052301,92,58
1515,52.39928927,-6.76699683,582,372
1516,52.48324235,-6.41275511,1222,678
1517,52.44467775,-6.61576463,1361,838
1518,52.25661074,-6.56348254,865,544
1519,52.54400699999999,-6.23355357,439,240
1520,52.35030712,-6.87181122,523,320
1521,52.33253557,-6.53008388,1779,1146
1522,52.37992887,-6.77731167,549,313
1523,52.430248399999996,-6.38078056,1111,667
1524,52.49279419,-6.72173238,940,525
1525,52.47179024,-6.35377018,853,458
1526,52.29172595,-6.770250900000001,886,499
1527,52.45499339,-6.82531573,421,255
1528,52.44181389,-6.73646889,1252,676
1529,52.76706868,-6.28363996,1149,666
1530,52.67073148,-6.24757062,2639,1324
1531,52.28767089,-6.44891001,1139,687
1532,52.23991538,-6.66001232,634,339
1533,52.32526869,-6.87674207,330,196
1534,52.43136387,-6.52168475,1491,823
1535,52.50361895,-6.55547157,9985,5181
1536,52.50105245,-6.56556589,2666,969
1537,52.58987236,-6.50582333,1560,843
1538,52.21430395,-6.84252436,850,495
1539,52.53124801,-6.27760074,536,321
1540,52.33382169,-6.58350408,831,496
1541,52.3641075,-6.58184434,584,391
1542,52.66608323,-6.31346071,6876,3974
1543,52.67675677,-6.2943136,3570,1755
1544,52.28125865,-6.65433537,525,343
1545,52.26271604,-6.71110014,515,272
1546,52.33294787,-6.71805893,563,335
1547,52.65461389,-6.36789419,316,202
1548,52.31375681,-6.82100145,559,321
1549,52.60939144,-6.48192818,387,241
1550,52.34721174,-6.61497543,312,217
1551,52.64166279,-6.45182616,1090,622
1552,52.52700488,-6.42871269,688,378
1553,52.24373624,-6.6041562,492,305
1554,52.36586206,-6.70466519,374,223
1555,52.72214216,-6.18841505,828,534
1556,52.21210955,-6.60813428,448,273
1557,52.5250077,-6.77370948,1015,614
1558,52.58011443,-6.30291297,549,313
1559,52.28255844,-6.88412975,686,392
1560,52.50100732,-6.29968681,610,333
1561,52.25420345,-6.48177154,871,530
1562,52.52541017,-6.66004854,846,397
1563,52.38421284,-6.60421326,710,462
1564,52.43621145,-6.46109011,1437,888
1565,52.29452506,-6.97709269,853,418
1566,52.17154186,-6.60817627,2246,1240
1567,52.69631422,-6.36386886,456,267
1568,52.37468547,-6.52559965,807,430
1569,52.59332958,-6.61178134,426,258
1570,52.65572025,-6.56757824,460,255
1571,52.23447311,-6.393577,954,537
1572,52.56647278,-6.73312823,456,273
1573,52.19811867,-6.37284308,620,313
1574,52.74138378,-6.30232116,943,605
1575,52.54266768,-6.59576646,1088,655
1576,52.2477628,-6.50807886,617,358
1577,52.56168782,-6.36282317,785,481
1578,52.71462992,-6.40964342,682,450
1579,52.68862387,-6.62224557,409,244
1580,52.39685844,-6.92893319,3942,2151
1581,52.39517031,-6.94167353,3768,1617
1582,52.33632206,-6.79351522,568,330
1583,52.28067535,-6.55861116,522,322
1584,52.64142398,-6.62765476,2284,1107
1585,52.35319458,-6.94890103,737,470
1586,52.38271653,-6.8369406,475,296
1587,52.29053287,-6.52451971,1760,1123
1588,52.24053495,-6.89425719,824,464
1589,52.36919003,-6.8852806,246,154
1590,52.39662829,-6.94909946,643,332
1591,52.59106909,-6.72726756,457,267
1592,52.27373441,-6.41292179,2112,979
1593,52.660375699999996,-6.41264089,607,406
1594,52.23375435,-6.34483569,2240,1209
1595,52.61696898,-6.70417461,689,457
