S,I,R,D,X
2.17324e+06,1.0434,8.13581,4.27965e+06,119830
2.17324e+06,0.946721,7.40379,4.27965e+06,119830
2.17324e+06,0.858998,6.73735,4.27965e+06,119830
2.17324e+06,0.779404,6.13065,4.27965e+06,119830
2.17324e+06,0.707185,5.57836,4.27965e+06,119830
2.17324e+06,0.641658,5.07562,4.27965e+06,119830
2.17324e+06,0.582203,4.61802,4.27965e+06,119830
2.17324e+06,0.528257,4.2015,4.27965e+06,119830
2.17324e+06,0.479309,3.82241,4.27965e+06,119830
2.17324e+06,0.434898,3.4774,4.27965e+06,119830
2.17324e+06,0.394601,3.16341,4.27966e+06,119830
2.17324e+06,0.358039,2.87768,4.27966e+06,119830
2.17324e+06,0.324864,2.61765,4.27966e+06,119830
2.17324e+06,0.294763,2.38105,4.27966e+06,119830
2.17324e+06,0.267451,2.16575,4.27966e+06,119830
2.17324e+06,0.24267,1.96986,4.27966e+06,119830
2.17324e+06,0.220186,1.79162,4.27966e+06,119830
2.17324e+06,0.199784,1.62946,4.27966e+06,119830
2.17324e+06,0.181273,1.48193,4.27966e+06,119830
2.17324e+06,0.164477,1.34772,4.27966e+06,119830
2.17324e+06,0.149238,1.22562,4.27966e+06,119830
2.17324e+06,0.13541,1.11455,4.27966e+06,119830
2.17324e+06,0.122864,1.01351,4.27966e+06,119830
2.17324e+06,0.11148,0.921612,4.27966e+06,119830
2.17324e+06,0.101151,0.838018,4.27966e+06,119830
2.17324e+06,0.0917792,0.761985,4.27966e+06,119830
2.17324e+06,0.0832756,0.692831,4.27966e+06,119830
2.17324e+06,0.0755599,0.629935,4.27966e+06,119830
2.17324e+06,0.0685591,0.572734,4.27966e+06,119830
2.17324e+06,0.062207,0.520713,4.27966e+06,119830
2.17324e+06,0.0564434,0.473404,4.27966e+06,119830
2.17324e+06,0.0512138,0.430383,4.27966e+06,119830
2.17324e+06,0.0464688,0.391261,4.27966e+06,119830
2.17324e+06,0.0421634,0.355686,4.27966e+06,119830
2.17324e+06,0.038257,0.323338,4.27966e+06,119830
2.17324e+06,0.0347124,0.293924,4.27966e+06,119830
2.17324e+06,0.0314963,0.26718,4.27966e+06,119830
2.17324e+06,0.0285782,0.242864,4.27966e+06,119830
2.17324e+06,0.0259304,0.220755,4.27966e+06,119830
2.17324e+06,0.023528,0.200655,4.27966e+06,119830
2.17324e+06,0.0213482,0.18238,4.27966e+06,119830
2.17324e+06,0.0193703,0.165766,4.27966e+06,119830
2.17324e+06,0.0175757,0.150662,4.27966e+06,119830
2.17324e+06,0.0159473,0.136932,4.27966e+06,119830
2.17324e+06,0.0144698,0.12445,4.27966e+06,119830
2.17324e+06,0.0131292,0.113104,4.27966e+06,119830
2.17324e+06,0.0119128,0.102789,4.27966e+06,119830
2.17324e+06,0.0108091,0.093414,4.27966e+06,119830
2.17324e+06,0.00980771,0.0848919,4.27966e+06,119830
2.17324e+06,0.00889906,0.0771458,4.27966e+06,119830
