S,I,X,R,D
1.65026e+06,0.254742,6.6962,4.78838e+06,134075
1.65026e+06,0.226747,6.03331,4.78839e+06,134075
1.65026e+06,0.201828,5.43576,4.78839e+06,134075
1.65026e+06,0.179649,4.89714,4.78839e+06,134075
1.65026e+06,0.159906,4.41168,4.78839e+06,134075
1.65026e+06,0.142333,3.97415,4.78839e+06,134075
1.65026e+06,0.126691,3.57984,4.78839e+06,134075
1.65026e+06,0.112769,3.2245,4.78839e+06,134075
1.65026e+06,0.100376,2.9043,4.78839e+06,134075
1.65026e+06,0.0893452,2.61578,4.78839e+06,134075
1.65026e+06,0.0795267,2.35581,4.78839e+06,134075
1.65026e+06,0.0707871,2.12158,4.78839e+06,134075
1.65026e+06,0.063008,1.91056,4.78839e+06,134075
1.65026e+06,0.0560838,1.72046,4.78839e+06,134075
1.65026e+06,0.0499205,1.5492,4.78839e+06,134075
1.65026e+06,0.0444345,1.39494,4.78839e+06,134075
1.65026e+06,0.0395514,1.25598,4.78839e+06,134075
1.65026e+06,0.0352049,1.13082,4.78839e+06,134075
1.65026e+06,0.0313361,1.01809,4.78839e+06,134075
1.65026e+06,0.0278924,0.916568,4.78839e+06,134075
1.65026e+06,0.0248272,0.825134,4.78839e+06,134075
1.65026e+06,0.0220988,0.742793,4.78839e+06,134075
1.65026e+06,0.0196703,0.668644,4.78839e+06,134075
1.65026e+06,0.0175087,0.601874,4.78839e+06,134075
1.65026e+06,0.0155846,0.541752,4.78839e+06,134075
1.65026e+06,0.0138719,0.487619,4.78839e+06,134075
1.65026e+06,0.0123475,0.438879,4.78839e+06,134075
1.65026e+06,0.0109906,0.394997,4.78839e+06,134075
1.65026e+06,0.00978276,0.35549,4.78839e+06,134075
1.65026e+06,0.0087077,0.319924,4.78839e+06,134075
1.65026e+06,0.00775077,0.287907,4.78839e+06,134075
1.65026e+06,0.00689901,0.259085,4.78839e+06,134075
1.65026e+06,0.00614085,0.233141,4.78839e+06,134075
1.65026e+06,0.00546601,0.209788,4.78839e+06,134075
1.65026e+06,0.00486533,0.188768,4.78839e+06,134075
1.65026e+06,0.00433066,0.16985,4.78839e+06,134075
1.65026e+06,0.00385475,0.152822,4.78839e+06,134075
1.65026e+06,0.00343114,0.137497,4.78839e+06,134075
1.65026e+06,0.00305408,0.123706,4.78839e+06,134075
1.65026e+06,0.00271846,0.111294,4.78839e+06,134075
1.65026e+06,0.00241972,0.100125,4.78839e+06,134075
