x,y,S,I,R,D,X,N
-6.23505,53.3686,2467.72,0.127933,0.0487412,0.104216,0.00291805,2468
-6.24596,53.3693,5063.42,0.262125,0.100007,0.213724,0.00598427,5064
-6.25106,53.3643,1696.8,0.0879863,0.0335866,0.071945,0.00201446,1697
-6.25868,53.3736,3516.6,0.181963,0.0691808,0.1473,0.0041244,3517
-6.18465,53.3868,2835.68,0.146302,0.0554418,0.117953,0.00330269,2836
-6.31455,53.3957,3318.61,0.172161,0.0661698,0.142746,0.00399687,3319
-6.30666,53.3924,2873.67,0.148813,0.0573177,0.123349,0.00345376,2874
-6.29743,53.3953,3463.6,0.179128,0.0686713,0.147632,0.0041337,3464
-6.31351,53.3869,2903.66,0.152095,0.0585342,0.127206,0.00356177,2904
-6.29778,53.3813,4205.51,0.219947,0.0842126,0.181174,0.00507288,4206
-6.30709,53.3814,2644.69,0.138349,0.0533165,0.115174,0.00322486,2645
-6.31625,53.3813,2426.71,0.126985,0.0491722,0.106651,0.00298622,2427
-6.23167,53.3747,5805.34,0.299969,0.114118,0.242997,0.0068039,5806
-6.17033,53.4007,9694.92,0.494243,0.185609,0.388662,0.0108825,9696
-6.15618,53.4024,5325.41,0.272254,0.102125,0.214218,0.00599811,5326
-6.15993,53.3934,3081.65,0.158222,0.0599115,0.126846,0.00355169,3082
-6.16792,53.387,4004.55,0.206294,0.0781766,0.165784,0.00464194,4005
-6.17601,53.3881,2679.7,0.137984,0.0523179,0.1112,0.0031136,2680
-6.19602,53.3859,2807.68,0.145033,0.0550356,0.117292,0.00328417,2808
-6.19198,53.381,2757.69,0.142259,0.0540583,0.115244,0.00322684,2758
-6.2659,53.3608,3918.55,0.20399,0.0778845,0.166755,0.00466914,3919
-6.26907,53.3566,3665.58,0.190522,0.0729283,0.156597,0.00438472,3666
-6.27219,53.3495,2756.68,0.143644,0.055066,0.118251,0.00331103,2757
-6.23173,53.3971,3659.59,0.187277,0.0710875,0.150824,0.00422306,3660
-6.22004,53.3948,2680.7,0.137606,0.0523304,0.111238,0.00311466,2681
-6.20536,53.394,1489.83,0.0768444,0.0291596,0.062121,0.00173939,1490
-6.20739,53.3905,2031.77,0.104596,0.0397885,0.0847347,0.00237257,2032
-6.25181,53.3534,5388.38,0.28061,0.106523,0.227226,0.00636234,5389
-6.25601,53.3571,3962.54,0.206369,0.0787087,0.168068,0.0047059,3963
-6.26214,53.3491,5653.35,0.294929,0.111975,0.238564,0.00667979,5654
-6.23987,53.358,1364.84,0.0709517,0.0272033,0.0586946,0.00164345,1365
-6.2187,53.3513,7694.12,0.396076,0.151582,0.325864,0.00912418,7695
-6.24571,53.3507,4213.51,0.219705,0.0836978,0.178836,0.0050074,4214
-6.32808,53.3571,1533.81,0.0807574,0.0322734,0.0744177,0.0020837,1534
-6.21821,53.405,1617.82,0.0826336,0.0313634,0.0668108,0.0018707,1618
-6.1993,53.4037,2727.69,0.139508,0.0526814,0.111589,0.0031245,2728
-6.1879,53.4029,4853.45,0.248489,0.0937154,0.198326,0.00555311,4854
-6.19738,53.3968,2755.69,0.141898,0.0537042,0.114022,0.00319262,2756
-6.21077,53.4003,2838.68,0.145672,0.0552504,0.117185,0.00328118,2839
-6.27476,53.3742,3173.63,0.165164,0.0631038,0.135603,0.00379689,3174
-6.26313,53.368,3480.6,0.180163,0.0688613,0.147297,0.00412432,3481
-6.26462,53.3643,2221.74,0.115425,0.0440248,0.0942763,0.00263974,2222
-6.28399,53.3694,5649.35,0.293971,0.112436,0.240759,0.00674124,5650
-6.28634,53.3641,3736.57,0.195059,0.0746002,0.159686,0.0044712,3737
-6.28911,53.3586,4084.52,0.214041,0.0820598,0.176363,0.00493818,4085
-6.30419,53.3732,1477.83,0.0777036,0.0299029,0.0649008,0.00181722,1478
-6.29475,53.3694,2576.7,0.134608,0.0515478,0.110804,0.00310251,2577
-6.29809,53.3645,2952.65,0.154606,0.0594991,0.128872,0.00360841,2953
-6.30082,53.359,2844.66,0.148576,0.057708,0.125823,0.00352305,2845
-6.28542,53.3183,3740.56,0.195821,0.0749453,0.161283,0.00451593,3741
-6.28951,53.3129,3489.59,0.18271,0.0698882,0.150346,0.00420968,3490
-6.29524,53.3078,1853.78,0.0969233,0.037282,0.0805974,0.00225673,1854
-6.28931,53.3038,791.907,0.0412209,0.0158743,0.0345093,0.00096626,792
-6.30038,53.3443,3929.54,0.206021,0.0796585,0.173146,0.00484809,3930
-6.28634,53.3452,1311.85,0.0684885,0.0264305,0.0570049,0.00159614,1312
-6.28804,53.3401,3982.53,0.209801,0.0802906,0.1728,0.00483841,3983
-6.29479,53.3365,2187.74,0.115023,0.0445949,0.0972243,0.00272228,2188
-6.29809,53.3351,1789.79,0.0942573,0.036522,0.0797161,0.00223205,1790
-6.2993,53.3396,3483.59,0.183308,0.0710419,0.155067,0.00434189,3484
-6.33686,53.323,2764.65,0.148613,0.0597369,0.137536,0.003851,2765
-6.32593,53.322,1884.77,0.100447,0.0396412,0.0887333,0.00248453,1885
-6.32198,53.319,2168.74,0.115422,0.0453467,0.100869,0.00282432,2169
-6.27093,53.3401,2605.7,0.135753,0.0519536,0.111661,0.00312651,2606
-6.27175,53.3327,3413.6,0.178331,0.0681385,0.146154,0.00409231,3414
-6.40422,53.2449,920.895,0.0466861,0.0180397,0.0393487,0.00110176,921
-6.30535,53.2841,5027.41,0.262869,0.100521,0.21558,0.00603623,5028
-6.3539,53.3082,4385.46,0.231853,0.092192,0.209827,0.00587516,4386
-6.32432,53.3269,2984.63,0.159655,0.0629402,0.140512,0.00393435,2985
-6.34342,53.3402,2676.65,0.1464,0.0599098,0.141736,0.0039686,2677
-6.35809,53.3463,3587.51,0.199013,0.0835813,0.204127,0.00571556,3588
-6.33504,53.3366,2391.69,0.128895,0.0523331,0.121787,0.00341003,2392
-6.33878,53.3305,2217.71,0.119954,0.048706,0.113606,0.00318098,2218
-6.33254,53.3419,2533.67,0.13713,0.0558477,0.130179,0.00364502,2534
-6.31764,53.3434,2413.71,0.127338,0.0499813,0.111118,0.00311129,2414
-6.31561,53.3382,5185.37,0.275065,0.107377,0.236547,0.00662331,5186
-6.3107,53.3218,1943.77,0.102592,0.0398505,0.0872202,0.00244216,1944
-6.30132,53.3226,3571.58,0.188132,0.0726895,0.158246,0.00443088,3572
-6.28601,53.3251,3042.64,0.159266,0.0610916,0.131439,0.00368028,3043
-6.29705,53.318,2461.71,0.129126,0.0497455,0.10775,0.00301699,2462
-6.30742,53.3163,3394.6,0.178673,0.0691481,0.150558,0.00421563,3395
-6.35126,53.3369,2656.65,0.145931,0.059987,0.142934,0.00400216,2657
-6.2512,53.3445,4664.46,0.242144,0.0923065,0.196547,0.00550332,4665
-6.25464,53.3385,1310.85,0.0680044,0.0260531,0.0558409,0.00156354,1311
-6.27688,53.3444,2512.71,0.131215,0.0503209,0.108282,0.0030319,2513
-6.27656,53.3414,3965.54,0.207873,0.0794451,0.170404,0.0047713,3966
-6.2802,53.3384,3565.58,0.186727,0.0715852,0.153855,0.00430795,3566
-6.27917,53.3354,2184.75,0.113923,0.0436863,0.0942094,0.00263786,2185
-6.27858,53.332,2488.71,0.13022,0.04989,0.107171,0.00300077,2489
-6.28703,53.3337,2157.75,0.113132,0.0435008,0.0939919,0.00263177,2158
-6.2073,53.3398,5077.42,0.262017,0.100161,0.21582,0.00604295,5078
-6.22022,53.3334,3817.56,0.198128,0.0755103,0.1616,0.0045248,3818
-6.21166,53.3255,3919.55,0.203203,0.0776534,0.16622,0.00465415,3920
-6.21852,53.3156,5262.39,0.273541,0.103964,0.222328,0.00622517,5263
-6.22474,53.3247,3901.55,0.203247,0.0775583,0.166142,0.00465197,3902
-6.2324,53.3374,4991.42,0.260078,0.0989671,0.21088,0.00590465,4992
-6.23523,53.3277,3002.65,0.156241,0.0597166,0.128262,0.00359134,3003
-6.24331,53.332,4851.44,0.252296,0.0962182,0.205283,0.00574793,4852
-6.27106,53.3088,4682.46,0.243172,0.093112,0.199641,0.00558994,4683
-6.25068,53.327,4835.44,0.252137,0.0961229,0.205531,0.00575487,4836
-6.24353,53.3172,6057.3,0.315271,0.120624,0.25908,0.00725424,6058
-6.25541,53.3145,3350.61,0.17462,0.0665273,0.142191,0.00398134,3351
-6.25413,53.3226,2756.68,0.143759,0.0548483,0.117275,0.00328371,2757
-6.27182,53.3261,5460.37,0.285123,0.108882,0.233058,0.00652562,5461
-6.26182,53.3264,3712.57,0.193596,0.0738313,0.157694,0.00441543,3713
-6.26194,53.3181,2680.69,0.140173,0.0534289,0.114645,0.00321005,2681
-6.26805,53.3162,3105.64,0.161804,0.0620278,0.132842,0.00371959,3106
-6.27745,53.3144,3389.61,0.176604,0.0676893,0.145098,0.00406273,3390
-6.27266,53.3204,2858.67,0.149366,0.0571641,0.122745,0.00343686,2859
-6.26574,53.3426,4328.5,0.225725,0.0863332,0.185035,0.00518099,4329
-6.26311,53.3402,2081.76,0.108494,0.0414594,0.088886,0.00248881,2082
-6.26201,53.3334,5121.41,0.266741,0.101945,0.218131,0.00610768,5122
-6.24067,53.3409,7003.19,0.363955,0.138614,0.296315,0.00829683,7004
-6.37597,53.2724,8477,0.444718,0.172875,0.375965,0.010527,8478
-6.36555,53.2968,3995.51,0.211154,0.0842403,0.192272,0.00538362,3996
-6.35473,53.282,3385.6,0.177825,0.0691657,0.150951,0.00422664,3386
-6.37067,53.2808,4578.46,0.240621,0.0935483,0.20463,0.00572964,4579
-6.37892,53.2902,11010.7,0.580225,0.230026,0.515961,0.0144469,11012
-6.34569,53.2952,4955.41,0.26057,0.101833,0.224385,0.00628279,4956
-6.31647,53.2969,2713.68,0.142287,0.0549303,0.119268,0.00333949,2714
-6.30729,53.3063,4855.43,0.254534,0.0980352,0.211765,0.00592943,4856
-6.33575,53.3064,3448.58,0.182058,0.0713316,0.158082,0.00442631,3449
-6.31768,53.3023,2055.76,0.107955,0.0419031,0.091585,0.00256438,2056
-6.32966,53.2975,2245.73,0.118092,0.045846,0.100399,0.00281118,2246
-6.30281,53.299,2073.76,0.108087,0.0416877,0.0900911,0.00252255,2074
-6.32487,53.3144,2150.74,0.113818,0.044885,0.0999034,0.0027973,2151
-6.31617,53.3114,2871.66,0.151596,0.0589755,0.129342,0.00362157,2872
-6.33513,53.3119,2567.69,0.136095,0.0535825,0.119276,0.00333972,2568
-6.25033,53.4206,5017.45,0.251899,0.095159,0.20134,0.00563751,5018
-6.19064,53.5902,16493.5,0.719003,0.259769,0.525999,0.014728,16495
-6.18199,53.6076,8115.26,0.351119,0.126898,0.256993,0.0071958,8116
-6.13843,53.3984,7523.16,0.383253,0.145068,0.307447,0.00860852,7524
-6.19497,53.4168,3112.66,0.156628,0.0589134,0.124601,0.00348882,3113
-6.33857,53.2285,4495.5,0.225266,0.0858686,0.183595,0.00514067,4496
