From LGD,From LGD Code,To LGD,To LGD Code,No of Commuters
95DD - BALLYMENA,95DD,Offshore installation,95DD,27
95DD - BALLYMENA,95DD,No fixed place,95DD,3721
95DD - BALLYMENA,95DD,Outside UK,95DD,71
95EE - BALLYMONEY,95EE,95AA - ANTRIM,95AA,352
95EE - BALLYMONEY,95EE,95BB - ARDS,95BB,8
95EE - BALLYMONEY,95EE,95CC - ARMAGH,95CC,12
95EE - BALLYMONEY,95EE,95DD - BALLYMENA,95DD,1692
95EE - BALLYMONEY,95EE,95EE - BALLYMONEY,95EE,3273
95EE - BALLYMONEY,95EE,95FF - BANBRIDGE,95FF,4
95EE - BALLYMONEY,95EE,95GG - BELFAST,95GG,537
95EE - BALLYMONEY,95EE,95HH - CARRICKFERGUS,95HH,6
95EE - BALLYMONEY,95EE,95II - CASTLEREAGH,95II,32
95EE - BALLYMONEY,95EE,95JJ - COLERAINE,95JJ,2352
95EE - BALLYMONEY,95EE,95KK - COOKSTOWN,95KK,64
95EE - BALLYMONEY,95EE,95LL - CRAIGAVON,95LL,15
95EE - BALLYMONEY,95EE,95MM - DERRY,95MM,143
95EE - BALLYMONEY,95EE,95NN - DOWN,95NN,3
95EE - BALLYMONEY,95EE,95OO - DUNGANNON,95OO,44
95EE - BALLYMONEY,95EE,95PP - FERMANAGH,95PP,23
95EE - BALLYMONEY,95EE,95QQ - LARNE,95QQ,70
95EE - BALLYMONEY,95EE,95RR - LIMAVADY,95RR,129
95EE - BALLYMONEY,95EE,95SS - LISBURN,95SS,39
95EE - BALLYMONEY,95EE,95TT - MAGHERAFELT,95TT,161
95EE - BALLYMONEY,95EE,95UU - MOYLE,95UU,339
95EE - BALLYMONEY,95EE,95VV - NEWRY & MOURNE,95VV,4
95EE - BALLYMONEY,95EE,95WW - NEWTOWNABBEY,95WW,141
95EE - BALLYMONEY,95EE,95XX - NORTH DOWN,95XX,10
95EE - BALLYMONEY,95EE,95YY - OMAGH,95YY,7
95EE - BALLYMONEY,95EE,95ZZ - STRABANE,95ZZ,6
95EE - BALLYMONEY,95EE,Mainly work at or from home,95EE,1668
95EE - BALLYMONEY,95EE,Offshore installation,95EE,12
95EE - BALLYMONEY,95EE,No fixed place,95EE,2251
95EE - BALLYMONEY,95EE,Outside UK,95EE,35
95FF - BANBRIDGE,95FF,95AA - ANTRIM,95AA,188
95FF - BANBRIDGE,95FF,95BB - ARDS,95BB,68
95FF - BANBRIDGE,95FF,95CC - ARMAGH,95CC,448
95FF - BANBRIDGE,95FF,95DD - BALLYMENA,95DD,79
95FF - BANBRIDGE,95FF,95EE - BALLYMONEY,95EE,5
95FF - BANBRIDGE,95FF,95FF - BANBRIDGE,95FF,5583
95FF - BANBRIDGE,95FF,95GG - BELFAST,95GG,2799
95FF - BANBRIDGE,95FF,95HH - CARRICKFERGUS,95HH,78
95FF - BANBRIDGE,95FF,95II - CASTLEREAGH,95II,291
95FF - BANBRIDGE,95FF,95JJ - COLERAINE,95JJ,18
95FF - BANBRIDGE,95FF,95KK - COOKSTOWN,95KK,27
95FF - BANBRIDGE,95FF,95LL - CRAIGAVON,95LL,2098
95FF - BANBRIDGE,95FF,95MM - DERRY,95MM,10
95FF - BANBRIDGE,95FF,95NN - DOWN,95NN,558
95FF - BANBRIDGE,95FF,95OO - DUNGANNON,95OO,127
95FF - BANBRIDGE,95FF,95PP - FERMANAGH,95PP,9
95FF - BANBRIDGE,95FF,95QQ - LARNE,95QQ,32
95FF - BANBRIDGE,95FF,95RR - LIMAVADY,95RR,1
95FF - BANBRIDGE,95FF,95SS - LISBURN,95SS,2155
95FF - BANBRIDGE,95FF,95TT - MAGHERAFELT,95TT,5
