Electoral Division,COUNTY,ED Latitude,ED Longitude,ED Area,Population,No. of Commuters
107052 - GRAIGUE RURAL,LAOIS,52.84190834,-6.9765843,17.190209,4786,2788
107053 - GRANTSTOWN,LAOIS,52.87964431,-7.51946297,20.777395,368,251
107054 - JAMESTOWN,LAOIS,53.12160849,-7.11091349,14.167183,465,288
107055 - KILCOKE,LAOIS,52.903981,-7.57138808,10.859095,134,91
107056 - KILCOLMANBANE,LAOIS,53.01027107,-7.25248918,20.008159,642,428
107057 - KILDELLIG,LAOIS,52.91569084,-7.53064755,17.123844,280,170
107058 - KILLABBAN,LAOIS,52.90963457,-6.9707988,12.701109,433,266
107059 - KILLERMOGH,LAOIS,52.87259052,-7.45455355,18.745247,349,188
107060 - KILMULLEN,LAOIS,53.15386469,-7.11267158,13.99177,564,355
107061 - KILMURRY,LAOIS,53.06041014,-7.17282628,9.335168,267,167
107062 - KILNASEER,LAOIS,52.83447488,-7.50177398,16.625741,309,181
107063 - KYLE,LAOIS,52.96613409,-7.68400371,21.790211,235,116
107064 - KYLE SOUTH,LAOIS,52.80904562,-7.64233072,24.94055,291,158
107065 - LACKA,LAOIS,53.05222587,-7.53768928,22.794113,256,158
107066 - LUGGACURREN,LAOIS,52.93779062,-7.12669805,24.250515,300,198
107067 - MARYMOUNT,LAOIS,52.9924338,-7.61552108,14.074118,138,87
107068 - MEELICK,LAOIS,53.13983737,-7.41685312,16.912555,419,241
107069 - MONEENALASSA,LAOIS,52.90293218,-7.66676108,11.820928,150,100
107070 - MONEYMORE,LAOIS,52.94898842,-7.66429114,10.041437,138,84
107071 - MOUNTMELLICK RURAL,LAOIS,53.10665106,-7.3323277,15.749825,974,594
107072 - MOUNTMELLICK URBAN,LAOIS,53.11695153,-7.32885034,2.271632,2994,1484
107073 - MOUNTRATH,LAOIS,53.00533819,-7.46312367,23.784635,2378,1133
107074 - MOYANNA,LAOIS,53.05881398,-7.12474241,16.714846,380,249
107075 - NEALSTOWN,LAOIS,53.00982083,-7.66282229,19.213933,89,54
107076 - NEWTOWN,LAOIS,52.84310616,-7.11086458,11.242625,306,178
107077 - O'MORESFOREST,LAOIS,53.08634672,-7.37297353,20.359801,492,292
107078 - PORTARLINGTON SOUTH,LAOIS,53.15321577,-7.18583013,11.547269,7138,4180
107079 - PORTLAOIGHISE RURAL,LAOIS,53.03093541,-7.2879206,21.75959,16105,8529
107080 - PORTLAOIGHISE URBAN,LAOIS,53.03510706,-7.29894683,2.048622,3878,1953
107081 - RAHEEN,LAOIS,52.95465335,-7.40071953,19.926331,465,315
107082 - RATHASPICK,LAOIS,52.91794002,-7.11042243,15.314708,239,139
107083 - RATHDOWNEY,LAOIS,52.83272067,-7.56979285,17.993813,1206,609
107084 - RATHSARAN,LAOIS,52.85737903,-7.62881818,15.457595,591,329
107085 - REARYMORE,LAOIS,53.16578772,-7.44604013,16.779768,286,167
107086 - ROSENALLIS,LAOIS,53.11297098,-7.42354644,19.151545,425,233
107087 - ROSSMORE,LAOIS,52.82158974,-7.00200883,12.514087,455,280
107088 - SALLYFORD,LAOIS,53.08814611,-7.09321799,19.694222,572,362
107089 - SHAEN,LAOIS,53.08380681,-7.26126662,23.579162,922,568
107090 - SHRULE,LAOIS,52.88270281,-6.96882792,12.101145,305,178
107091 - STRADBALLY,LAOIS,53.02373076,-7.16148245,20.63474,1807,992
107092 - TANKARDSTOWN,LAOIS,52.93869413,-7.00457609,15.36586,368,234
107093 - TIMAHOE,LAOIS,52.95913175,-7.21430265,25.764752,590,390
107094 - TIMOGUE,LAOIS,52.98913446,-7.17646169,19.418135,356,222
107095 - TINNAHINCH,LAOIS,53.11988662,-7.49800534,26.14821,165,92
107096 - TRUMRA,LAOIS,53.00047627,-7.40942845,16.822775,231,138
107097 - TURRA,LAOIS,52.86903073,-7.06492761,15.87344,362,209
107098 - VICARSTOWN,LAOIS,53.05021063,-7.08179105,12.484511,192,110
117001 - AGHACASHEL,LEITRIM,54.08006789,-7.94311738,10.189859,77,48
117002 - AGHALATEEVE / AGHANLISH,LEITRIM,54.39240453,-8.30621132,37.439727,223,119
117004 - AGHAVAS,LEITRIM,53.9697007,-7.72712983,16.306413,322,173
117006 - ANNADUFF,LEITRIM,53.91690747,-7.973123,11.946238,225,136
117008 - BALLAGHAMEEHAN,LEITRIM,54.36216357,-8.1056791,28.140479,195,89
117009 - BALLINAMORE,LEITRIM,54.05345073,-7.82180461,18.194374,1107,588
117010 - BARNAMEENAGH,LEITRIM,54.08674357,-8.00547185,29.869055,147,83
117011 - BEIHY,LEITRIM,53.84146455,-7.81293014,22.287389,332,168
117012 - BELHAVEL,LEITRIM,54.21479294,-8.19464338,21.643593,239,110
117013 - BREANDRUM,LEITRIM,53.96960601,-7.88871864,16.625435,253,137
117014 - BUNNYBEG,LEITRIM,53.95806337,-7.93870929,13.095335,153,90
117015 - CARRICK-on-SHANNON,LEITRIM,53.94332676,-8.06780255,24.253186,4080,2162
117016 - CARRIGALLEN EAST,LEITRIM,53.96684556,-7.61868378,14.012875,300,153
117017 - CARRIGALLEN WEST,LEITRIM,53.98075903,-7.67755603,15.741501,563,322
117018 - CASHEL,LEITRIM,53.86254393,-7.87453586,11.42161,170,97
117019 - CASTLEFORE,LEITRIM,54.03616924,-7.8953851,14.080013,260,139
117020 - CATTAN,LEITRIM,53.8893657,-7.76287495,16.666285,237,115
117021 - CLOONCLARE,LEITRIM,54.27296773,-8.01239347,19.866456,178,97
117022 - CLOONE,LEITRIM,53.9435676,-7.76317738,18.033519,336,192
117023 - CLOONLOGHER,LEITRIM,54.25778702,-8.20118393,33.292181,285,168
117024 - CLOVERHILL,LEITRIM,54.0922786,-7.77610728,19.378523,345,153
117025 - CORRALA,LEITRIM,54.01382658,-7.69456188,15.801866,246,146
117026 - CORRIGA,LEITRIM,53.92908463,-7.70594606,12.375974,142,84
117027 - DRUMAHAIRE,LEITRIM,54.22429264,-8.27932107,34.308737,1524,889
117028 - DRUMARD,LEITRIM,53.88553056,-7.88808341,12.684061,206,127
117029 - DRUMKEERAN,LEITRIM,54.17267373,-8.12927554,28.715406,465,254
117030 - DRUMOD,LEITRIM,53.87876941,-7.94675771,22.163932,869,485
117031 - DRUMREILLY WEST / DRUMREILLY EAST,LEITRIM,54.13777382,-7.9672957,46.880525,167,87
117032 - DRUMREILLY NORTH,LEITRIM,54.03253514,-7.73913573,12.50951,158,80
117033 - DRUMREILLY SOUTH,LEITRIM,54.01578014,-7.77459233,10.76531,146,66
117035 - DRUMSHANBO,LEITRIM,54.04030401,-8.05184119,15.933743,1389,728
117036 - DRUMSNA,LEITRIM,53.95272694,-7.98396757,21.741615,685,386
117037 - DRUMDOO,LEITRIM,53.9289076,-7.91551127,15.558431,303,141
117038 - FENAGH,LEITRIM,54.01629474,-7.84487339,15.392067,392,225
117039 - GARADICE,LEITRIM,54.0566992,-7.74150335,22.697907,530,265
117040 - GARVAGH / ARIGNA,LEITRIM,54.16105055,-8.21236453,35.742324,180,75
117041 - GLENADE,LEITRIM,54.35095844,-8.26873502,28.508523,172,95
117042 - GLENANIFF,LEITRIM,54.36983432,-8.18264559,33.238163,167,79
117043 - GLENBOY,LEITRIM,54.27723315,-8.10007653,25.740398,239,169
117044 - GLENCAR,LEITRIM,54.33834708,-8.33954956,37.030158,256,156
117045 - GLENFARN,LEITRIM,54.30575217,-7.98974749,19.06394,132,70
117046 - GORTERMONE,LEITRIM,53.94592772,-7.65056686,16.556269,270,171
117047 - GORTNAGULLION,LEITRIM,53.99818561,-7.94434853,18.236022,292,150
117048 - GOWEL,LEITRIM,53.97927222,-8.02691789,13.495149,325,206
117049 - GREAGHGLASS / STRALONGFORD,LEITRIM,54.09356055,-7.89526976,37.763465,332,168
117050 - GUBACREENY,LEITRIM,54.44892618,-8.22556546,23.812626,736,399
117051 - KEELDRA,LEITRIM,53.91024041,-7.76791708,15.305089,179,108
117052 - KESHCARRIGAN,LEITRIM,54.01578287,-7.97132127,10.429,489,257
117053 - KILLANUMMERY,LEITRIM,54.18560866,-8.30367078,20.768681,374,214
117054 - KILLARGA,LEITRIM,54.22895779,-8.11013999,32.904323,69,35
117055 - KILLYGAR,LEITRIM,54.00800885,-7.6282516,12.6458,126,66
117056 - KILTUBBRID,LEITRIM,54.04720157,-7.9437584,12.246521,153,86
117057 - KILTYCLOGHER,LEITRIM,54.33352812,-8.05830785,31.607703,207,85
117058 - KINLOUGH,LEITRIM,54.4271982,-8.29051251,22.246462,983,569
117059 - LEITRIM,LEITRIM,54.0097747,-8.04186496,22.916791,1224,727
117060 - LISGILLOCK,LEITRIM,53.98804895,-7.77359378,14.253132,186,107
117061 - LURGANBOY,LEITRIM,54.29983088,-8.23453021,29.618006,415,267
117062 - MAHANAGH,LEITRIM,54.18803054,-8.09232651,33.147151,296,148
117063 - MANORHAMILTON,LEITRIM,54.3090122,-8.16421211,33.622984,1892,1067
117064 - AGHAVOGHILL / MELVIN,LEITRIM,54.41442792,-8.1723202,40.467289,211,90
117065 - MOHER,LEITRIM,54.05310955,-7.98404975,16.915377,221,129
117066 - MOHILL,LEITRIM,53.93142588,-7.86364041,22.30725,1258,601
117067 - MUNAKILL,LEITRIM,54.30695086,-8.07039215,21.163655,169,97
117068 - NEWTOWNGORE,LEITRIM,54.03705998,-7.67916201,16.287808,242,142
117069 - OUGHTERAGH,LEITRIM,54.089521,-7.83922751,10.789236,91,42
117070 - RINN,LEITRIM,53.88527283,-7.82199706,18.600918,370,201
117071 - RIVERSTOWN,LEITRIM,53.95901033,-7.81742259,21.820172,240,109
117072 - ROOSKY,LEITRIM,53.84388459,-7.88417971,18.600468,616,318
117073 - ROWAN,LEITRIM,53.99691057,-7.87089334,16.809999,247,122
117074 - SRAMORE,LEITRIM,54.28382979,-8.30457407,29.778257,390,246
117075 - St. PATRICK'S,LEITRIM,54.12923165,-8.10681553,28.927908,125,78
117077 - TULLAGHAN,LEITRIM,54.44434293,-8.36864854,25.415722,699,365
117078 - YUGAN,LEITRIM,54.16489806,-8.00003262,19.234313,222,106
127001 - ABBEYFEALE,LIMERICK,52.36891059,-9.31190883,14.860587,2542,1294
127002 - ABBEYVILLE,LIMERICK,52.50618925,-8.66500363,13.47986,353,230
127003 - ABINGTON,LIMERICK,52.63256888,-8.38340155,22.025349,1238,815
127004 - ADARE NORTH,LIMERICK,52.5860467,-8.80975405,17.932058,585,403
127005 - ADARE SOUTH,LIMERICK,52.56902256,-8.76454972,21.962007,2031,1119
127006 - ANGLESBOROUGH,LIMERICK,52.3489804,-8.2758214,24.993025,339,212
127007 - ARDAGH,LIMERICK,52.49144929,-9.07606399,26.12694,981,576
127008 - ARDPATRICK,LIMERICK,52.36094145,-8.52920092,20.977954,380,221
127009 - ASKEATON EAST,LIMERICK,52.60765385,-8.95258157,14.613725,622,339
127010 - ASKEATON WEST,LIMERICK,52.61225862,-8.99899516,18.033176,1186,638
127011 - ATHLACCA,LIMERICK,52.464234,-8.63748413,17.210977,384,228
127012 - AUGHINISH,LIMERICK,52.62443389,-9.05666353,26.689621,238,134
127013 - BALLINGARRY,LIMERICK,52.48142188,-8.84080604,17.658878,936,547
127014 - BALLINTOBER,LIMERICK,52.3828959,-9.04627874,15.792843,361,201
127015 - BALLYAGRAN,LIMERICK,52.40600686,-8.76373085,16.630807,494,269
127016 - BALLYALLINAN,LIMERICK,52.48931708,-8.93185506,23.119462,428,267
127017 - BALLYBRICKEN,LIMERICK,52.57697527,-8.54620069,29.70084,1814,1190
127018 - BALLYCUMMIN,LIMERICK,52.6353272,-8.6779515,20.327256,18388,11702
127019 - BALLYGRENNAN,LIMERICK,52.46882868,-8.7888766,16.389944,298,183
127020 - BALLYLANDERS,LIMERICK,52.37322073,-8.33670323,12.527254,628,304
127021 - BALLYMACSHANEBOY,LIMERICK,52.33667429,-8.58109883,24.351273,485,305
127022 - BALLYNABANOGE,LIMERICK,52.47705355,-8.69813397,14.657706,327,181
127023 - BALLYNACARRIGA,LIMERICK,52.64587719,-8.81476823,20.800283,861,535
127024 - BALLYNOE,LIMERICK,52.43636564,-8.84680213,23.315484,469,292
127025 - BALLYNOE WEST,LIMERICK,52.44359187,-8.93483811,13.030696,335,207
127026 - BALLYSIMON,LIMERICK,52.63570015,-8.56379254,30.576095,13590,8299
127027 - BALLYVARRA,LIMERICK,52.65952988,-8.5031027,38.212057,4288,2758
127028 - BILBOA,LIMERICK,52.64263227,-8.2489621,25.926327,409,241
127029 - BOOLA,LIMERICK,52.31480719,-8.98692109,10.221908,145,88
127030 - BROADFORD,LIMERICK,52.36072858,-8.96265938,28.910247,960,526
127031 - BRUFF,LIMERICK,52.48443629,-8.55851114,19.927996,1415,807
127032 - BRUREE,LIMERICK,52.41315156,-8.64132305,20.000728,1199,628
127033 - BULGADEN,LIMERICK,52.40733104,-8.52446047,14.657176,340,217
127034 - CAHER,LIMERICK,52.34044726,-9.27088194,13.01129,353,195
127035 - CAHERCONLISH EAST,LIMERICK,52.59966617,-8.41069986,19.796442,507,324
127036 - CAHERCONLISH WEST,LIMERICK,52.59753071,-8.48867583,24.303712,2236,1241
127037 - CAHERCORNEY,LIMERICK,52.51545773,-8.48441107,17.864201,733,481
127038 - CAHERELLY,LIMERICK,52.54984464,-8.48567489,11.454335,364,239
127039 - CAPPAMORE,LIMERICK,52.60766301,-8.33994294,18.508289,1362,782
127040 - CARRIG,LIMERICK,52.65703724,-8.75370069,18.668291,593,374
127041 - CASTLECONNELL,LIMERICK,52.71451735,-8.48515259,22.351971,3332,2001
127042 - CASTLETOWN,LIMERICK,52.41272719,-8.81603615,20.361799,364,224
127043 - CASTLETOWN,LIMERICK,52.65076596,-8.91121077,21.776758,480,345
127044 - CLARINA,LIMERICK,52.61676965,-8.7510908,21.689555,1770,1150
127045 - CLEANGLASS,LIMERICK,52.35214797,-9.08224106,20.841365,280,154
127046 - CLONCAGH,LIMERICK,52.44997859,-8.90082439,16.670341,296,176
127047 - CLONKEEN,LIMERICK,52.65870202,-8.43871701,16.146321,973,622
127048 - COLMANSWELL,LIMERICK,52.39601659,-8.71037738,30.168921,548,322
127049 - COOLRUS,LIMERICK,52.46273368,-8.74825926,19.593879,415,243
127050 - CRAGGS,LIMERICK,52.58995113,-9.06070673,13.853207,258,160
127051 - CREAN,LIMERICK,52.49098882,-8.60914812,14.51018,412,263
127052 - CRECORA,LIMERICK,52.57116282,-8.68824816,13.1596,426,291
127053 - CROAGH,LIMERICK,52.55491006,-8.86680779,22.346447,773,462
127054 - CROOM,LIMERICK,52.51561618,-8.71996241,18.162732,1692,835
127055 - CULLANE,LIMERICK,52.33867702,-8.3369911,18.706841,374,220
127056 - DANGANBEG,LIMERICK,52.39916995,-9.00115949,18.625872,411,242
127057 - DARRAGH,LIMERICK,52.32258521,-8.41115215,18.520798,308,187
127058 - DOON SOUTH,LIMERICK,52.60512122,-8.2697232,30.194337,1268,732
127059 - DOON WEST,LIMERICK,52.65149857,-8.29534805,23.6111,237,150
127060 - DROMARD,LIMERICK,52.51928674,-8.85207094,26.971773,882,595
127061 - DROMCOLLIHER,LIMERICK,52.35927892,-8.89886995,26.158539,945,514
127062 - DROMIN,LIMERICK,52.4398029,-8.60079418,25.96952,555,373
127063 - DROMTRASNA,LIMERICK,52.38455718,-9.24512606,29.147748,900,542
127064 - DUNMOYLAN EAST,LIMERICK,52.53840838,-9.08765606,21.544322,441,271
127065 - DUNMOYLAN WEST,LIMERICK,52.53656003,-9.16307426,8.702144,66,43
127066 - DUNNAMAN,LIMERICK,52.54014964,-8.75252011,18.057742,690,449
127067 - DUNTRYLEAGUE,LIMERICK,52.41326806,-8.34534298,16.603771,333,187
127068 - EMLYGRENNAN,LIMERICK,52.41165795,-8.46198411,25.335983,759,435
127069 - FEDAMORE,LIMERICK,52.56142216,-8.60070698,19.869848,1257,724
127070 - FEENAGH,LIMERICK,52.38455312,-8.86427227,14.182631,333,193
127071 - FLEANMORE,LIMERICK,52.57540142,-9.22614349,16.034524,217,138
127072 - GALBALLY,LIMERICK,52.40151877,-8.29797452,16.062184,563,283
127073 - GARRANE,LIMERICK,52.54110338,-8.67708204,11.269145,294,173
127074 - GARRYDUFF,LIMERICK,52.43955623,-9.14633674,15.288031,270,168
127075 - GLENAGOWER,LIMERICK,52.47430771,-9.26208587,18.129597,494,285
127076 - GLENBROHANE,LIMERICK,52.39252232,-8.39692523,20.080542,430,241
127077 - GLENGORT,LIMERICK,52.35773892,-9.15394742,32.233636,672,377
127078 - GLENSHARROLD,LIMERICK,52.50429493,-9.16333245,19.454391,416,210
127079 - GLENSTAL,LIMERICK,52.67221635,-8.35350589,33.086343,1140,681
127080 - GLIN,LIMERICK,52.56422659,-9.29844112,32.215228,1162,645
127081 - GRANGE,LIMERICK,52.52199885,-8.55978475,16.355718,538,344
127082 - GREAN,LIMERICK,52.55698332,-8.34937194,32.775539,1506,857
127083 - GRISTON,LIMERICK,52.35222047,-8.39207868,16.105663,304,191
127084 - HOSPITAL,LIMERICK,52.47304042,-8.4343314,22.144784,1312,741
127085 - IVERUSS,LIMERICK,52.64049253,-8.95425675,21.781999,303,178
127086 - KILBEHENY,LIMERICK,52.32839927,-8.1963966,25.350903,237,147
127087 - KILCORNAN,LIMERICK,52.60152094,-8.87521471,25.194363,772,466
127088 - KILDIMO,LIMERICK,52.61814276,-8.81403669,13.516001,669,436
127089 - KILFERGUS,LIMERICK,52.5275092,-9.28313632,26.752584,416,233
127090 - KILFINNANE,LIMERICK,52.36080177,-8.46283361,27.711527,1121,607
127091 - KILFINNY,LIMERICK,52.5068876,-8.79501157,14.914856,279,193
127092 - KILFLYN,LIMERICK,52.31440897,-8.45402972,19.421891,199,110
127093 - KILGLASS,LIMERICK,52.30604838,-8.27437851,12.853388,302,178
127094 - KILMALLOCK,LIMERICK,52.40067684,-8.56976562,22.29764,2394,1181
127095 - KILMEEDY,LIMERICK,52.40200979,-8.90242806,14.57989,354,202
127096 - KILMOYLAN,LIMERICK,52.50885681,-9.25223177,36.147129,403,243
127097 - KILMURRY,LIMERICK,52.56312917,-8.43142409,26.155014,909,567
127098 - KILPEACON,LIMERICK,52.55532567,-8.6503697,16.483757,527,365
127099 - KILSCANNELL,LIMERICK,52.49620433,-9.01634467,20.827977,513,325
127100 - KILTEELY,LIMERICK,52.51302729,-8.40138251,17.849308,574,313
127101 - KNOCKADERRY,LIMERICK,52.46106897,-8.98618309,15.015224,513,315
127102 - KNOCKAINY,LIMERICK,52.488421,-8.48928926,23.238298,722,437
127103 - KNOCKLONG,LIMERICK,52.43508158,-8.395532,18.759488,874,466
127104 - KNOCKNASCROW,LIMERICK,52.3219176,-8.2228778,14.201562,194,133
127105 - LIMERICK NORTH RURAL,LIMERICK,52.67150129,-8.67451039,9.962858,6801,3687
127106 - LIMERICK SOUTH RURAL,LIMERICK,52.64877453,-8.60433196,5.85536,1786,1088
127107 - LISMAKEERY,LIMERICK,52.55683307,-9.0185668,21.19895,433,259
127108 - LOGHILL,LIMERICK,52.58221269,-9.17401505,28.843923,673,361
127109 - MAHOONAGH,LIMERICK,52.43076048,-8.98094921,12.936533,522,315
127110 - MOHERNAGH,LIMERICK,52.55177646,-9.17501333,6.044605,136,72
127111 - MONAGAY,LIMERICK,52.40539214,-9.09698081,35.08098,1221,760
127112 - MOUNTCOLLINS,LIMERICK,52.32194884,-9.20156629,17.599801,486,241
127113 - MOUNTPLUMMER,LIMERICK,52.34466571,-9.0303945,20.98297,327,185
127114 - NANTINAN,LIMERICK,52.5639577,-8.93410258,21.958813,730,449
127115 - NEWCASTLE RURAL,LIMERICK,52.45367611,-9.06496425,25.974465,2264,1310
127116 - NEWCASTLE URBAN,LIMERICK,52.44988163,-9.05623404,3.186767,5104,2603
127117 - OOLA,LIMERICK,52.54924034,-8.26807058,32.501479,1082,596
127118 - PALLASKENRY,LIMERICK,52.64926644,-8.85757061,14.179676,1075,689
127119 - PARTICLES,LIMERICK,52.31234298,-8.51682048,24.425485,240,151
127120 - PATRICKSWELL,LIMERICK,52.59735755,-8.70738131,12.542154,1451,820
127121 - PORT,LIMERICK,52.41290424,-9.30526125,16.328415,504,306
127122 - RATHKEALE RURAL,LIMERICK,52.5243148,-8.93340032,9.720317,316,170
127123 - RATHKEALE URBAN,LIMERICK,52.52248621,-8.93868052,6.059071,1371,564
127124 - RATHMORE,LIMERICK,52.52725128,-8.62123115,12.737494,298,197
127125 - RATHRONAN,LIMERICK,52.44311223,-9.2549562,37.499622,864,480
127126 - RIDDLESTOWN,LIMERICK,52.5373089,-8.99269336,21.927567,586,392
127127 - RIVERSDALE,LIMERICK,52.38480235,-8.24630305,14.697523,252,127
127128 - ROCKHILL,LIMERICK,52.42982938,-8.69468246,17.103381,321,198
127129 - ROOSKAGH,LIMERICK,52.46870306,-9.15450589,20.803541,281,168
127130 - ROXBOROUGH,LIMERICK,52.61172244,-8.62120028,24.014638,1495,973
127131 - SHANAGOLDEN,LIMERICK,52.60140742,-9.11390729,17.805218,927,492
127132 - SHANID,LIMERICK,52.56634835,-9.10966044,17.951917,532,323
127133 - TEMPLEBREDON,LIMERICK,52.51447539,-8.33606315,22.833935,547,344
127134 - TEMPLEGLENTAN,LIMERICK,52.39856487,-9.18119851,29.291505,974,508
127135 - TOBERNEA,LIMERICK,52.36966807,-8.61615962,21.240455,643,377
127136 - UREGARE,LIMERICK,52.44970557,-8.50868217,23.468747,631,394
128001 - ABBEY A,LIMERICK,52.67784303,-8.61169048,2.842397,4636,2808
128002 - ABBEY B,LIMERICK,52.66738157,-8.60370599,1.028386,2653,1705
128003 - ABBEY C,LIMERICK,52.66505064,-8.61459275,0.125934,602,189
128004 - ABBEY D,LIMERICK,52.66285087,-8.61017833,0.337952,1517,612
128005 - BALLINACURRA A,LIMERICK,52.65062943,-8.65416108,2.059136,1962,1236
128006 - BALLINACURRA B,LIMERICK,52.64551176,-8.63623256,0.696011,1371,551
128007 - BALLYNANTY,LIMERICK,52.68038854,-8.64383431,1.343709,2891,1161
128008 - CASTLE A,LIMERICK,52.67000406,-8.63579163,0.312938,1140,569
128009 - CASTLE B,LIMERICK,52.66810137,-8.6295444,0.171418,458,230
128010 - CASTLE C,LIMERICK,52.66343199,-8.63957755,0.736476,1245,692
128011 - CASTLE D,LIMERICK,52.66352546,-8.6591336,1.204707,2081,1225
128012 - COOLRAINE,LIMERICK,52.67143593,-8.65210799,0.533214,1573,775
128013 - CUSTOM HOUSE,LIMERICK,52.66490561,-8.62508573,0.174626,736,295
128014 - DOCK A,LIMERICK,52.65924794,-8.63465966,0.180893,2339,877
128015 - DOCK B,LIMERICK,52.65796651,-8.62978961,0.15248,1077,574
128016 - DOCK C,LIMERICK,52.65369178,-8.63405186,0.281284,976,502
128017 - DOCK D,LIMERICK,52.65618217,-8.64432423,0.721267,773,396
128018 - FARRANSHONE,LIMERICK,52.67021086,-8.64363857,0.278961,963,490
128019 - GALVONE A,LIMERICK,52.64909443,-8.60417085,0.774797,1502,698
128020 - GALVONE B,LIMERICK,52.6454859,-8.60406053,0.663176,664,259
128021 - GLENTWORTH A,LIMERICK,52.65817647,-8.621653,0.247356,554,253
128022 - GLENTWORTH B,LIMERICK,52.65181344,-8.62101622,0.258679,1198,521
128023 - GLENTWORTH C,LIMERICK,52.65249961,-8.62582998,0.224731,502,190
128024 - JOHN'S A,LIMERICK,52.67622967,-8.62640402,0.483246,759,269
128025 - JOHN'S B,LIMERICK,52.67041453,-8.62292997,0.329712,952,384
128026 - JOHN'S C,LIMERICK,52.6678768,-8.62079447,0.074495,456,223
128027 - KILLEELY A,LIMERICK,52.67846257,-8.63369385,0.610698,1467,574
128028 - KILLEELY B,LIMERICK,52.67230519,-8.63118324,0.151346,821,324
